,Datetime,headline,description,article,link,analysis
0,2025-06-27 03:14:00,"New car price inflation may already be here, and tariffs will make it worse: Cox Automotive","The analysts at Cox Automotive believe tariff-induced price hikes are coming for new cars, and it's possible they're already here.","Analysts at Cox Automotive believe tariff-induced price hikes are coming for new cars — and could already be here..""The new vehicle market is likely to see the return of inflation, and it may already be happening,"" Cox senior economist Charlie Chesbrough said during the company's 2025 midyear review and second-half outlook..""Given the impact of tariffs, prices are likely to start rising at a much faster rate, so the trend suggests higher vehicle prices are coming to the new vehicle market,"" Chesbrough added..Chesbrough said the combination of higher-priced models affected by tariffs coming to replace depleted inventories, the declining use of incentives, and potential supply disruptions will create conditions that will shoot prices higher in the new car market..President Trump's auto sector tariffs began on April 3, but automakers had built up big buffers of non-tariffed supply before then..Supply is a big factor in pricing, and that non-tariff supply is dwindling. Cox data shows that in March, the industry's supply stood at 92 days. In June, that figure fell to 70, with some automakers like Toyota (TM) and Honda (HMC) having around half that amount..""The supply this year has been falling dramatically since March as the tariff-induced buying surge drew down available inventories,"" Chesbrough said..Read more: 6 steps to find cheap car insurance in 2025.Cox division Kelly Blue Book reports the average selling price of a new vehicle crept up to $48,799 in May, up from the month before but below the $50K mark seen in the height of the pandemic..As prices are poised to rise, sales may soon drop accordingly..May's sales pace fell to a seasonally adjusted annual rate of 15.6 million, Chesbrough said, with June slumping even further to 15.3 million, with more declines to follow..""The impact of tariffs have not been felt, and that will change in the 2nd half of this year,"" Chesbrough said..Chesbrough said the Cox team predicts that if tariffs remain in place, sales will fall around 1% to 2% to 15.7 million for the year, down from 15.9 million last year..The pain from falling sales won't hit all automakers uniformly. While GM (GM) performed well in the first half of the year, Cox predicts Toyota (TM) and Ford (FORD) could outperform in the second half, based on strong results in the second quarter. Stellantis (STLA), Volkswagen, and Tesla (TSLA) may suffer as they saw dropping sales and market share in the first half of the year..Pras Subramanian is the lead auto reporter for Yahoo Finance. You can follow him on X and on Instagram.",https://finance.yahoo.com/news/new-car-price-inflation-may-already-be-here-and-tariffs-will-make-it-worse-cox-automotive-191406711.html,**Risk Classification:**   - Inflation Risk   - Policy Risk (Tariffs)   - Market Risk
1,2025-06-27 01:18:00,How Trump’s Tariffs Could Upend the Auto Industry—and Raise the Price of Your Next Car,President Trump wants an all-American car. U.S. vehicle sales could plunge by as much as 20% if he uses massive levies to get one.,President Trump wants an all-American car. U.S. vehicle sales could plunge by as much as 20% if he uses massive levies to get one.,https://finance.yahoo.com/m/4d95d3e6-2115-31f7-b447-14ae4f60acc9/how-trump%E2%80%99s-tariffs-could.html,- **Market Risk**   - **Operational Risk**   - **Regulatory Risk**   - **Price Risk**   - **Strategic Risk**
2,2025-06-27 01:50:00,"Lithium industry bemoans 'paradox' of low prices, rising demand","LAS VEGAS (Reuters) -An ongoing slide in lithium prices even as demand for the battery metal continues to climb is a frustrating ""paradox"" not likely to be resolved before at least 2030, the world's largest producers told a major industry conference this week.  Once a niche metal used primarily in greases, ceramics and pharmaceuticals, lithium's use in electric vehicles, large-scale battery storage and other electronic applications has grown rapidly, with demand up 24% last year and likely to grow 12% annually for the next decade, according to data from consultancy Fastmarkets.","By Ernest Scheyder.LAS VEGAS (Reuters) -An ongoing slide in lithium prices even as demand for the battery metal continues to climb is a frustrating ""paradox"" not likely to be resolved before at least 2030, the world's largest producers told a major industry conference this week..Once a niche metal used primarily in greases, ceramics and pharmaceuticals, lithium's use in electric vehicles, large-scale battery storage and other electronic applications has grown rapidly, with demand up 24% last year and likely to grow 12% annually for the next decade, according to data from consultancy Fastmarkets..Oversupply from China, however, has dragged prices down more than 90% in the past two years, fueling layoffs, corporate buyouts and project delays across the globe..""We've got market pain, but on the other side is the strategic gain. That is the lithium paradox,"" Dale Henderson, CEO of Australian lithium miner Pilbara Minerals, told the Fastmarkets Lithium and Battery Raw Materials Conference in Las Vegas..One long-time conference attendee described the mood at this year's conference using the stages of grief as a metaphor. Last year's conference reflected denial, with the sentiment in 2025 one of acceptance, he said..Despite the price drop, attendance at the conference - considered the world's largest annual gathering of lithium investors, executives and consumers - fell only 9% from last year to roughly 1,000, according to organizers..""It's quite hard to imagine a future where lithium doesn't play a central role in the global economy,"" said Paul Lusty, head of battery raw materials research at Fastmarkets..Chinese miners have stockpiled supply that likely will only come down later this decade and lessen the market imbalance, he added..Others have seen an even longer timeframe. Project Blue, another minerals consultancy, does not expect lithium demand to exceed supply until 2033 at the earliest..""Lithium has no chill mode. It really is more volatile than a lot of other markets out there,"" said Peter Hannah, head of pricing at Albemarle, the world's largest lithium producer, which has cut staff and delayed expansion projects in response to the price drop..Much of the conference side chatter focused on efforts to curb spending, with various lithium projects - especially direct lithium extraction (DLE) projects - touting efforts to lower costs..""The issues with lithium are which mines can produce the highest quality product at the lowest cost,"" said Ken Hoffman, a commodity strategist with mining investment bank Red Cloud Securities.",https://finance.yahoo.com/news/lithium-industry-bemoans-paradox-low-165017350.html,Market Risk   Operational Risk
3,2025-06-27 01:27:00,General Motors Stock Due for a Short-Term Bounce,General Motors stock is testing a historically bullish trendline,"Auto stock General Motors Co (NYSE:GM) was last seen up 1.4% at $48.40. It's seen some choppy price action lately, but the 50-day moving average has moved in as close support. Furthermore, a pullback to this trendline has preceded gains in the past..Per Schaeffer's Senior Quantitative Analyst Rocky White, the stock is within 0.75 of the 50-day moving average's 20-day average true range (ATR) after spending at least 80% of the last 10 days and 80% of the last two months above it. Within these parameters, 12 other signals occurred in the past three years. GM was higher one month later 67% of the time after those instances, averaging a 5% gain. A move of similar magnitude would have the shares at $50.82 -- above recent pressure at the $50 mark.. .An unwinding of pessimism amongst options traders could provide tailwinds as well. Both GM's 10-day put/call volume ratio of 3.56 and 50-day put/call volume ratio of 1.15 at the International Securities Exchange (ISE), Cboe Options Exchange (CBOE), and NASDAQ OMX PHLX (PHLX) rank higher than all other readings from the past year, indicating a very strong penchant for bearish bets.",https://finance.yahoo.com/news/general-motors-stock-due-short-162756223.html,market risk
4,2025-06-26 22:54:00,Must-Watch EV and AV Stocks to Supercharge Your Portfolio,"If you're looking to tap into the future of electric and autonomous mobility, keep an eye on stocks like LAZR, RIVN and LI.","An updated edition of the March 13, 2025 article..Electric and autonomous vehicles are no longer just the future—they’re quickly becoming the present. Per BloombergNEF, global electric vehicle (EV) sales are expected to hit nearly 22 million this year, a sharp 25% jump from last year. One in every four cars sold this year will be either fully electric or a plug-in hybrid. And a big part of this boom is happening in China, which is expected to account for nearly two-thirds of all EV sales. Europe and the United States are also playing catch-up, with a growing number of affordable models being rolled out and battery prices continuing to fall..Not too long ago, when people talked about EVs, Tesla TSLA was the only name that came to mind. It was the clear leader, making EVs cool, functional and mainstream. But the landscape is changing fast. Legacy automakers like General Motors GM are now pushing hard into the EV space. Startups like Lucid Group LCID are attracting attention with fresh designs and new tech. And Chinese companies like BYD Co Ltd BYDDY are charging ahead with big product lineups and global ambitions. Climate concerns, stricter emission standards and big improvements in battery range and charging speeds are making EVs more practical—and more popular..Meanwhile, the autonomous vehicle (AV) market is also shifting gears. Future Market Insights projects that the AV market will grow from about $36 billion in 2025 to more than $83 billion by 2035. That’s an 8.7% CAGR, driven by smarter sensors, better connectivity and rising demand for safer, self-driving transport. AV tech is maturing fast, and the companies leading the charge in software, chips, and robotics are worth watching..Whether you’re excited about the rise of cleaner, greener cars—or the possibility of never having to drive one again—this space is full of innovation. And for investors, it might just be one of the most electrifying corners of the market to explore right now. Our Electric Vehicles & Autonomous Driving Screen will help you spot high-potential stocks in this space. Interested investors should add Luminar Technologies LAZR, Li Auto LI and Rivian Automotive RIVN to their watchlist..Explore 30 cutting-edge investment themes with Zacks Thematic Screens and uncover your next big opportunity..Luminar is a name to watch in the AV space. The company focuses on LiDAR technology—laser-based sensors that help vehicles “see” their surroundings—and it's making bold moves to stay ahead of the curve. Luminar is now shifting from its older Iris system to a more advanced, unified platform called Halo. This new system promises faster deployment, lower development costs, and better scalability, making it more attractive to automakers. In fact, several OEMs are already testing Halo prototypes, with a full launch expected by late 2026 or early 2027.",https://finance.yahoo.com/news/must-watch-ev-av-stocks-135400121.html,high risk
5,2025-06-26 15:18:00,"GM to recall over 62,000 US vehicles over fire risk from brake assembly","An electrical short can generate excessive heat and could result in a fire, risking injury, NHTSA said.  The defect was caused by the use of an unauthorized chemical by the supplier of the brake assembly that caused a part to degrade over time, the agency said.  About 1% of the recalled vehicles are expected to have the defect.","(Reuters) -GM is recalling 62,468 vehicles over the risk that a fault in the brake pressure sensor assembly may allow fluid to leak, increasing chances of an electrical short, the U.S. National Highway Traffic Safety Administration (NHTSA) said on Thursday..An electrical short can generate excessive heat and could result in a fire, risking injury, NHTSA said. It added that an underhood fire may occur even when the vehicle is switched off or possibly unattended..The defect was caused by the use of an unauthorized chemical by the supplier of the brake assembly that caused a part to degrade over time, the agency said..The recall covers certain 2019-2024 Chevrolet Silverado vehicles. About 1% of the recalled vehicles are expected to have the defect..(Reporting by Kanjyik Ghosh and Aishwarya Jain in Bengaluru; Editing by Harikrishnan Nair and Mrigank Dhaniwala)",https://finance.yahoo.com/news/gm-recall-over-62-000-071837205.html,Operational Risk   Reputational Risk   Legal/Compliance Risk   Safety Risk
6,2025-06-26 06:45:00,General Motors (GM) Stock Moves -1.78%: What You Should Know,"General Motors (GM) closed at $48.13 in the latest trading session, marking a -1.78% move from the prior day.","General Motors (GM) closed at $48.13 in the latest trading session, marking a -1.78% move from the prior day. At the same time, the Dow lost 0.25%, and the tech-heavy Nasdaq gained 0.31%..Shares of the an automotive manufacturer have depreciated by 0.18% over the course of the past month, outperforming the Auto-Tires-Trucks sector's loss of 0.34%, and lagging the S&P 500's gain of 5.05%..The investment community will be closely monitoring the performance of General Motors in its forthcoming earnings report. In that report, analysts expect General Motors to post earnings of $2.52 per share. This would mark a year-over-year decline of 17.65%. Simultaneously, our latest consensus estimate expects the revenue to be $45.37 billion, showing a 5.41% drop compared to the year-ago quarter..For the annual period, the Zacks Consensus Estimates anticipate earnings of $9.31 per share and a revenue of $177.57 billion, signifying shifts of -12.17% and -5.27%, respectively, from the last year..It is also important to note the recent changes to analyst estimates for General Motors. These recent revisions tend to reflect the evolving nature of short-term business trends. As such, positive estimate revisions reflect analyst optimism about the business and profitability..Empirical research indicates that these revisions in estimates have a direct correlation with impending stock price performance. To utilize this, we have created the Zacks Rank, a proprietary model that integrates these estimate changes and provides a functional rating system..The Zacks Rank system ranges from #1 (Strong Buy) to #5 (Strong Sell). It has a remarkable, outside-audited track record of success, with #1 stocks delivering an average annual return of +25% since 1988. Over the past month, the Zacks Consensus EPS estimate has shifted 0.01% downward. General Motors presently features a Zacks Rank of #3 (Hold)..In the context of valuation, General Motors is at present trading with a Forward P/E ratio of 5.27. This represents a discount compared to its industry average Forward P/E of 11.54..Also, we should mention that GM has a PEG ratio of 1.32. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. The Automotive - Domestic industry had an average PEG ratio of 1.15 as trading concluded yesterday..The Automotive - Domestic industry is part of the Auto-Tires-Trucks sector. This industry, currently bearing a Zacks Industry Rank of 213, finds itself in the bottom 14% echelons of all 250+ industries.",https://finance.yahoo.com/news/general-motors-gm-stock-moves-214506112.html,market risk
7,2025-06-26 02:28:00,"Major automakers criticize US auto safety agency, call for reform","A major trade group representing General Motors, Toyota Motor, Volkswagen, Hyundai and other automakers sharply criticized the National Highway Traffic Safety Administration, saying the auto safety regulator is impeding progress and struggling to modernize. ""Its fractured relationship with the industry, decades-old safety regulations, and lack of a clear strategic roadmap for emerging technologies are stifling innovation and threatening U.S. global leadership,"" said Alliance for Automotive Innovation CEO John Bozzella in written testimony for a U.S. House of Representatives hearing Thursday, calling for the agency to conduct significant reforms and listing dozens of regulatory standards that...","By David Shepardson.WASHINGTON (Reuters) -A major trade group representing General Motors, Toyota Motor, Volkswagen, Hyundai and other automakers sharply criticized the National Highway Traffic Safety Administration, saying the auto safety regulator is impeding progress and struggling to modernize..""Its fractured relationship with the industry, decades-old safety regulations, and lack of a clear strategic roadmap for emerging technologies are stifling innovation and threatening U.S. global leadership,"" said Alliance for Automotive.Innovation CEO John Bozzella in written testimony for a U.S. House of Representatives hearing Thursday, calling for the agency to conduct significant reforms and listing dozens of regulatory standards that should be repealed, revised, or updated..NHTSA did not immediately respond to a request for comment..He reiterated industry calls to repeal automatic emergency braking rules and make it easier to deploy autonomous vehicles without human controls..""Unfortunately, federal inaction is holding us back. Despite years of dialogue, there is still no comprehensive federal framework for AVs,"" Bozzella said, also calling for NHTSA to ease fuel economy requirements starting in 2027, saying they are ""misaligned with consumer demand and current technology adoption rates."".U.S. traffic deaths remain sharply above pre-COVID levels despite falling 3.8% in 2024 to 39,345, but are still drastically higher than the 36,355 killed in 2019..NHTSA routinely fails to write regulations even when directed by Congress and has often gone years without a Senate-confirmed leader..The Insurance Institute for Highway Safety, an industry funded group that prods automakers to build safer vehicles, will tell Congress the agency must do more..""NHTSA is failing to meet the moment. In recent years, it has approached its job with a lack of urgency, using flawed methodologies that underestimate the safety benefits of obviously beneficial interventions,"" IIHS President David Harkey will testify adding NHTSA ""requires stronger leadership, a sense of urgency, and a greater willingness to act."".NHTSA has refused to require antilock braking systems for motorcycles despite calls from IIHS since 2013..IIHS said fatal crash rates for motorcycles with optional ABS are 22% lower than identical models without it. The European Union, United Kingdom, Brazil, Japan, Taiwan, Australia, New Zealand and India have all mandated the technology, IIHS said..(Reporting by David Shepardson; Editing by Chizu Nomiyama)",https://finance.yahoo.com/news/major-automakers-criticize-us-auto-172848364.html,Regulatory Risk
8,2025-06-26 00:11:00,Expanded LG plant in Holland could help fix rural EV charging crisis,The South Korean battery maker plans to produce batteries that can be installed anywhere and can capture solar and wind power to charge vehicles.,"LG Energy Solution plans to produce enough batteries to plug the holes in the strained U.S. electrical grid that make installing electric vehicle charging stations difficult in rural areas..How? By producing batteries large enough to be installed anywhere that capture enough solar and wind power to charge vehicles..The South Korean battery maker, the largest in the country, completed expansion of its Holland, Michigan, facility this month. The plant, operational since 2012, produces automotive vehicle batteries for partners including General Motors, Honda and Hyundai Motors..But the decision to use an over $1.4 billion investment to expand in a new direction ― manufacturing batteries for storage systems in addition to those for automotive use ― came two years ago, said Jaehong Park, CEO of LG Energy Vertech Inc., the company's energy storage branch, told media on June 24..“There were multiple drivers at the time. We found that the EV demand was down,” Park said. “Plus, there was always concern whether we can have enough engineering resources, technicians, in the facility.”.Adding production of batteries for energy storage applications at its plant not only offers two revenue sources for battery technology ― making and charging batteries that power vehicles ― but it insulates the company from future headwinds at a critical time and demonstrates the resilience of battery production, according to North American President Bob Lee..“Traditionally, large scale energy storage is not always easy. We depended on hills with a lake for hydro applications or large spaces for compressed air,” he said. “Those are things you can't put anywhere. We have a solution: We can provide energy storage in any location where the energy is being used.”.Demand for energy storage systems, or ESS batteries, is only increasing, and the flexibility when installing them is what makes the business model so durable, Lee said. Not only can ESS batteries charge vehicles through energy captured from so-called clean energy sources, but it can offset some strain from artificial intelligence data centers..Cell production is up now and can finish 30% of the packing of cells in Holland, the company said. By August, LG Energy Solutions plans to supplement cell packing at a retrofitted plant in the Chicago suburb of Madison, Illinois..Once fully operational, the company plans to produce close to three times as many energy storage batteries as electric vehicle batteries..More: Bill Ford says loss of federal funding could 'imperil' Marshall battery factory",https://finance.yahoo.com/news/expanded-lg-plant-holland-could-161111993.html,no risk
9,2025-06-25 21:39:00,"Tesla's robotaxi launch could drive industry disruption and market share gain, analysts say","Piper Sandler backs Tesla as a long-term winner in autos, even as valuation fears swirl.","Tesla's (TSLA) robotaxi could reshape the auto market, Piper Sandler said..In a new note to clients, the firm reiterated its bullish stance, citing Tesla's pioneering work and first-mover advantage in self-driving software. ""Tesla is still the most transformative company in autos,"" analysts led by Alexander Potter wrote. ""Over time, Tesla will likely win."".The report also warns that as self-driving tech scales, the broader auto market is at risk of major disruption, including fewer vehicles sold, higher utilization of fleets, and a shift toward service-based revenue models. Piper Sandler said Tesla could become a consolidator and identified no other winners in the space..Tesla is not the first player in the autonomous race. Google's (GOOG, GOOGL) Waymo launched its driverless taxis in Phoenix in 2018 and now operates fleets in San Francisco, Phoenix, Los Angeles, and Austin. Amazon's Zoox began testing on public roads in 2023. Tesla opened its robotaxi service to limited riders in Austin this Sunday..The company also has several competitors in China. Baidu (BIDU) launched its robotaxi fleet in 2022 and reportedly has plans to expand in Europe..Piper Sandler analysts said other US automakers are falling behind as the future of mobility evolves. GM (GM) and Ford (FORD) are still lagging on software, while Rivian (RIVN) faces execution risks. Stellantis (STLA) has the ""steepest hill to climb"" with manager turnover and geographic complexity..""Each company has pros and cons, but none appear as well-positioned as TSLA,"" they wrote..Still, the firm is realistic about the road ahead. It said Tesla's Q2 results could disappoint and a robotaxi crash could dent the company's lofty valuation, adding that such an event ""appears inevitable."" GM's Cruise shut its robotaxis operations after one of its cars struck a pedestrian in San Francisco in 2023..Tesla's sales have been sagging as the demand for EVs slows and CEO Elon Musk's politics fueled boycotts and demonstrations worldwide. For its first quarter, Tesla's revenue of $19.34 billion and EPS of $0.27 both widely missed Wall Street expectations of $21.43 billion and $0.44, respectively..Its Q1 adjusted profits fell 40% year over year. Its vehicle delivery of 336,681 units was the worst since the second quarter of 2022. Its new car sales in Europe have fallen for five straight months in 2025, down 27.9% year over year in May..Read more: How to avoid Tesla car insurance sticker shock.But Piper Sandler argues that Tesla's lead in autonomy is only growing as full self-driving (FSD) rolls out in more cities and the Trump administration potentially issues more favorable policies.",https://finance.yahoo.com/news/teslas-robotaxi-launch-could-drive-industry-disruption-and-market-share-gain-analysts-say-133937404.html,market risk   competitive risk   valuation risk
