Datetime,headline,description,article,link,analysis
2025-06-27 08:04:00,The ‘next wave of AI growth’ could come from humanoid robots,"Nvidia (NVDA) notched another record close as investor enthusiasm around artificial intelligence (AI) continues to grow. Dave Mazza, CEO of Roundhill Investments, joins Asking for a Trend to break down Nvidia’s momentum and why his new ETF is betting on humanoid robots as the next wave of AI innovation. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.","Nvidia (NVDA) notched another record close as investor enthusiasm around artificial intelligence (AI) continues to grow..Dave Mazza, CEO of Roundhill Investments, joins Asking for a Trend to break down Nvidia’s momentum and why his new ETF is betting on humanoid robots as the next wave of AI innovation..To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here..Well we're seeing big moves in big tech with Nvidia hitting another record close today. For more, I want to bring in now Dave Mozza, chief executive officer at Round Hill Investments. Dave, it's great to see you. Let let's start there with Nvidia, Dave. Uh it's a name you know well. What do you make of the move off the April low we have seen there, Dave, and what do you see ahead for Jensen Huang's company? .Yeah, look, Nvidia is showing its leadership uh through this market rally. And one of the reasons being is like there's a lot of resiliency with the AI trade. I think obviously the deep seek news which happened before the liberation day sell off, you know, brought a lot of skittishness to investors on on sort of the durability of that trade and actually more so the durability for companies like Nvidia to continue to power through that. Um but what we've seen is Nvidia is actually navigated well this environment. Certainly questions about that China market share that they're likely going to continue to lose. But now with the introduction of sovereign AI deals, I think Nvidia is showing that they have a lot more going for it than just sort of relying on what they've been doing with data centers and the hyperscalars in the US and even even a country as important or a market is important to it as like China. .I also, Dave, I want to talk about this new ETF of yours which includes Nvidia and the focus is humanoid robots, Dave. And listen, robots we know, you know, it's not a new investing theme. It's been around for some time. So so why why launch this product now, Dave? .Yeah, so it's interesting. Nvidia is actually the second largest holding uh in the portfolio. Not that they're making robots, but actually their Jets and AI uh is incredibly important uh for the growth of humanoid robotics. But to answer your point specifically on the why now is that we're seeing a convergence of trends um that are really we believe going to benefit robots, but particularly humanoid robotics. And one is this ongoing labor shortage, particularly for uh what are called the 3Ds of work. Um so that's dull work, that's dirty work, and dangerous work. Um so these this is work. Um dull work is repetitive work stocking shelves. We know that a humanoid robot can can do work of that nature. Of course dangerous work, um having a a robot do that as opposed to a human can be beneficial. Um and then dirty work, cleaning sludge and things of that nature. Um and so because of the power of AI, the computational capabilities plus the cost of those capabilities coming down, now's really the time that we're seeing sort of the potential for explosion of of humanoid robots. And also this idea of embedded intelligence embedded AI uh is coming and it's happening now with humanoid robotics. So we really think this is the next wave of AI growth. ",https://finance.yahoo.com/video/next-wave-ai-growth-could-220454806.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 02:21:00,"Tesla exec. & Musk confidant reportedly ousted, US stocks rise","John Hyland outlines some of the top stories on the trading day on this rendition of Yahoo Finance's Market Minute. Micron (MU) shares fall despite reporting earnings results that beat estimates. Tesla (TSLA) executive Omead Afshar has left the company, according to Bloomberg, with Forbes reporting Afshar was fired. Novo Nordisk (NVO) announces a weight loss drug partnership with Weight Watchers, just after the pharma giant cut ties with Hims & Hers (HIMS). Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute","John Hyland outlines some of the top stories on the trading day on this rendition of Yahoo Finance's Market Minute..Micron (MU) shares fall despite reporting earnings results that beat estimates..Tesla (TSLA) executive Omead Afshar has left the company, according to Bloomberg, with Forbes reporting Afshar was fired..Novo Nordisk (NVO) announces a weight loss drug partnership with Weight Watchers, just after the pharma giant cut ties with Hims & Hers (HIMS)..Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.Time for Yahoo! Finance's market minute. US stocks are pushing higher today, within points of its record high, as the S&P 500 sees its record rally continue. Meanwhile, a high profile departure at Tesla. According to Bloomberg, the executive who oversaw sales and manufacturing operations for North America and Europe has left the company. He was promoted to the role just last year and is one of Elon Musk's closest confidants at Tesla. Forbes is also reporting that the executive was fired. North America and Europe have become pain points for the automaker recently with sales plunging due to rising competition and consumer backlash to Musk and the White House. Plus, Micron shares falling today despite the company posting strong results, driven by AI computing demand. Analysts also see the company benefiting from improved demand for its more mature chips. The company also seeing its price targets boosted by several analysts following the results. And Novo Nordisk adding a deal with Weight Watchers to boost access to its Wegovy drug, just days after acting a collaboration with telehealth company Hims & Hers. And that's your Yahoo! Finance market minute. ",https://finance.yahoo.com/video/tesla-exec-musk-confidant-reportedly-172149426.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-26 07:06:00,What's next for Tesla as its European demand evaporates,"Tesla (TSLA) stock slides after data showed that the company's European sales dropped nearly 28% in May, even as overall electric vehicle (EV) demand in the region rose. Yahoo Finance Senior Reporter Pras Subramanian joins Asking for a Trend host Josh Lipton and Fundstrat Global Advisors managing director and global head of technical strategy Mark Newton to discuss what's behind Tesla's slump and how the stock might move going forward. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.","Tesla (TSLA) stock slides after data showed that the company's European sales dropped nearly 28% in May, even as overall electric vehicle (EV) demand in the region rose..Yahoo Finance Senior Reporter Pras Subramanian joins Asking for a Trend host Josh Lipton and Fundstrat Global Advisors managing director and global head of technical strategy Mark Newton to discuss what's behind Tesla's slump and how the stock might move going forward..To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here..Tesla shares went downhill today as more negative data emerges in its core auto business. Yahoo finances price of Meranian joins us now with more prize. .Tesla European sales down for the ACA uh trade group in May to about 13,800 units. That's down 27.9% compared to a year ago. Meanwhile, overall sales in the region were up 25% in Europe. And this despite the new Model Y being available. So, what's going on here, Josh? It's kind of more of the same that we've been talking about. There's the must factor, the must factor alienating buyers with his support of far right-wing figures. And of course, there's better competition from Chinese makes like BYD, SAIC, as well as Volkswagen, right, the legacy automakers. So, same story in Europe, demand evaporating. Big question is, will it ever recover? .Prize with the headlines. Let's bring back in our expert contributor, now Fundstrat Global Advisors, Mark Newton to discuss some recent moves with Tesla. You look at the technicals on this one, Mark, what do you see? .It's encouraging. The stock's been up 15% over the last three months. I mean, obviously it's had a tough first half of the year. Always discouraging when a stock becomes uh more political, but honestly, you know, Tesla's back half of the year is shaping up to be very, very good. I mean, they had a great first weekend with this uh robo taxi rollout. We know that the combination of both FSD and self-autonomous both could account for potentially a trillion dollars in the next five years. Uh and a lot of that is not being shown right now in the current data. So it is sort of a show me stock. Elon always over promises and to some extent has under delivered, but yet uh the stock is is something that is very promising for me. Uh I like the stock a lot. I think getting back above 349 would put it back towards uh new all-time highs. And so I I'm uh, you know, bullish. My cycle projections show the stock continuing to rise in the back half of the year, much different than the first part of the year. So I like it. .Prize, let me ask you just back to fundamentals there. When you think about competition for Tesla in Europe, where is that primarily coming from, Prize? I mean, is it China, domestic, you know, European players, both? .Yeah, you know, you saw you see some upside uh some upside sales here for for BMW, right? And also, Volkswagen, I mentioned a lot of new smaller models coming out that are playing in spaces that Tesla isn't operating. Same with the Chinese auto makers, they're not operating that that that that sort of cheaper market, the sub 25,000, 30,000 euro market where those other players are operating. Now we Tesla's long been saying that they are going to come out with this cheaper EV. Uh they've been saying that now for the past year. We haven't seen it yet. We're all kind of anxiously waiting to see what it is. What is it? Is going to be a smaller car? Is it going to be like a D content Model Y? We'll see, but what Mark was saying is absolutely right because uh tell about technicals too. The stock is totally divorced from fundamentals, right? We talk about poor European sales, stock down a bit, but it's been up a lot recently. Uh the stock is a momentum stock, right, Mark? And I think that uh as you see in second half of the year, seasonality seasonality wise, that stock tends to do better. .Yeah, absolutely right. Look, you look at the first part of the year, a lot of these sales are from time when when Elon was still affiliated with administration. And so it might not account for the current day. It's more of what happened in in recent history. And I think that sentiment uh should start to change in my view going forward. .All right, thank you, Prize. And a big thank you, of course to Mark Newton for hanging us with this this afternoon. Some final thoughts, Mark. .Nasdaq 100 at new all-time highs. I think Nvidia at new time highs. Uh S&P will get there sooner than later at a time when breadth is slowly but surely starting to expand. That's a good sign at a time when the economy seems to be working, earnings are good, and geopolitical risks are easing. So, investors don't seem to be all in on stocks by a long shot. People are still concerned for the right reasons. That's generally a time you still want to stick with the trend with markets at new highs. .Not so much a technical question for you, but a question for a guy who's watched the markets for a long time. You go back to early April to liberation day, right? Sky is falling, run for the hills. What do you just make of the move here? Are you surprised by how fast and hard we've come back? .I look at sentiment, I look at cycles. I think they're more important for me in determining where prices can go rather than Fed speak or earnings or any of those. So, you know, there was classic signs of capitulation that happened at the April lows. Um and I put out a report actually in April that said stocks are close to bottoming. I I am surprised of course that we're back at new all-time highs. You can see a bounce, but the fact that tech carried through as quickly as it did uh very, very encouraging. For my great great grandfather, Isaac Newton, you don't ever want to fight trends. Never things that are accelerating cannot be moved without sufficient force. So, like technically, things are in great shape and and sentiment has been a key reason why investors want to stick on board and and try to divorce themselves from what's happening in the world and just concentrate on their portfolios. .When you call that bottom, did you get any push back from clients on that? .Uh I got a lot of pushback, of course. I mean, I think that people uh think you're you're crazy when when we see markets selling off to the extent they did specifically in late March. I happen to be in in Latin America and so trying to write reports while being in Medellin and and Lima, it's not fun to have to go back and address the volatility and people look at you a little funny. So, uh happy that things worked out and and you know, it's encouraging to see both Tom Lee and myself have been, you know, optimistic and and saw reasons as to why stocks should have bottomed and pushed higher. Uh and still reasons for optimism, you know, I think in in the back half of this year, even if we get a bumpy fall. So, um happy for the recovery. .Mark, great to have you on Saturday. Thank you, sir. Good to have you. .Thank you. Great to be here. Thanks. ",https://finance.yahoo.com/video/whats-next-tesla-european-demand-220629661.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 10:44:00,Bumper orders for Xiaomi's new SUV heighten threat to Tesla,"SHANGHAI (Reuters) -Exceptionally strong initial orders for Xiaomi's YU7 electric sport utility vehicle sent shares in the automotive newcomer to a record high on Friday and fanned speculation that Tesla may have to cut prices to fight back.  The company received 289,000 orders for the YU7 - only its second vehicle and one that undercuts Tesla's Model Y in price by nearly 4% - in its first hour on sale, according to CEO Lei Jun.  That was more than three times the level for its SU7 electric sedan launched in March last year and easily exceeded market expectations of around 100,000 in orders.","By Brenda Goh, Che Pan and Qiaoyi Li.SHANGHAI (Reuters) -Exceptionally strong initial orders for Xiaomi's YU7 electric sport utility vehicle sent shares in the automotive newcomer to a record high on Friday and fanned speculation that Tesla may have to cut prices to fight back..The company received 289,000 orders for the YU7 - only its second vehicle and one that undercuts Tesla's Model Y in price by nearly 4% - in its first hour on sale, according to CEO Lei Jun..That was more than three times the level for its SU7 electric sedan launched in March last year and easily exceeded market expectations of around 100,000 in orders..Tesla's Model Y, China's best-selling SUV, will likely lose more market share, analysts said..That would only rub salt into the wound for the U.S. automaker which has steadily lost ground to domestic EV makers that have won over consumers with snazzy new models. Xiaomi's SU7, for example, has outsold Tesla's Model 3 in China on a monthly basis since December..The YU7 is priced from 253,500 yuan ($35,360) which is ""slightly below that of Tesla's Model Y but it offers much better specs and performance,"" said analysts at Jefferies..Citi analysts said Tesla may have to cut prices further, offer its ""Full Self-Driving"" driver assistance software for free and offer more financing incentives if it is to successfully compete with Xiaomi..Tesla did not immediately respond to a request for comment..Its share of the Chinese EV market has fallen from a peak of 15% in 2020 to 10% last year and then again to 7.6% for the first months of 2025..Xiaomi's shares shot 8% higher in early trade to an all-time high but later pared gains to be up 3%. They have more than tripled this year to value the smartphone and appliance maker at nearly $200 billion, making the company the best performing large cap stock in Asia Pacific, according to LSEG data..(Reporting by Brenda Goh, Che Pan and Qiaoyi Li; Additional reporting by Zhang Yan; Editing by Edwina Gibbs)",https://finance.yahoo.com/news/shares-chinas-xiaomi-surge-launch-014425434.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 09:45:00,"Why the World’s Largest EV Maker, BYD, Remains Undervalued","BYD Company (BYDDF) may now be the world’s top-selling EV maker, but it remains underappreciated by Western investors. According to Main Street data, BYD has delivered over 4 million vehicles in 2024. While building out a strong battery and charging ecosystem, and a vertically integrated, tech-driven business model, BYD is far more than a regional Tesla rival. Its global expansion and innovation pipeline support a bullish long-term view—I’m assigning a Buy rating. Evaluating the Chinese EV Giant","BYD Company (BYDDF) may now be the world’s top-selling EV maker, but it remains underappreciated by Western investors. According to Main Street data, BYD has delivered over 4 million vehicles in 2024. While building out a strong battery and charging ecosystem, and a vertically integrated, tech-driven business model, BYD is far more than a regional Tesla rival. Its global expansion and innovation pipeline support a bullish long-term view—I’m assigning a Buy rating..Easily unpack a company's performance  with TipRanks' new KPI Data for smart investment decisions.Receive undervalued, market resilient stocks right to your inbox  with TipRanks' Smart Value Newsletter.Many may not realize BYD’s journey began in 1995 as a rechargeable battery manufacturer. Since then, the company has evolved into a diversified powerhouse spanning electric vehicles, energy storage, mobile components, solar cells, and even monorails..Its vertically integrated structure has enabled smoother global expansion than many legacy automakers, which juggle EVs and traditional vehicles. In 2024, BYD posted impressive results, with revenue surging 29% to ¥777.1 billion and profits climbing 34% year-over-year..The balance sheet appears exceptional, with solid cash reserves that comfortably outweigh debts of ¥29.13 billion and a declining debt-to-asset ratio in recent quarters, as shown by TipRanks data. Notably, this is unlike many traditional automakers who are struggling to pivot as consumer demands and markets transition towards electric vehicles..In the rapidly evolving EV space, technological leadership is a clear differentiator, and BYD’s Blade Battery is a standout. This lithium-iron-phosphate (LFP) battery is praised for its superior safety, longevity, and cost efficiency. Its enhanced resistance to thermal runaway, improved energy density, and lower production costs give BYD a significant edge over traditional battery designs..From an investor’s perspective, this innovation translates into more competitively priced vehicles without compromising on safety or performance, key factors for converting hesitant consumers..Beyond the battery, BYD is also making strides in EV infrastructure. Its latest ultra-fast charging platform, capable of adding 400 km of range in just five minutes, directly addresses one of the biggest consumer concerns: range anxiety. Together, these advancements solidify BYD’s leadership across both the vehicle and charging ecosystem.",https://finance.yahoo.com/news/why-world-largest-ev-maker-004500045.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 07:15:00,"Xiaomi Launches YU7 SUV, Undercuts Tesla's Model Y With 200,000 Orders in 3 Minutes","The YU7 received over 200,000 orders within three minutes of launch.","Xiaomi unveiled its YU7 electric SUV on Thursday, pricing it at 253,500 yuan ($35,364)about 4% below Tesla's (TSLA, Financials) Model Y in China. The company said it received 200,000 orders within three minutes of launch..With a top range of 835 km, the YU7 beats the Model Y's 719 km and marks Xiaomi's most aggressive move in the EV space. CEO Lei Jun aims to position the vehicle as a direct rival to Tesla, following strong sales of Xiaomi's SU7 sedan..The company raised its 2025 delivery target to 350,000 units and is expanding its EV infrastructure in Beijing. Analysts say the YU7 could help Xiaomi transition from a tech-first brand to a mass-market EV player..This article first appeared on GuruFocus.",https://finance.yahoo.com/news/xiaomi-launches-yu7-suv-undercuts-221529002.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 06:00:00,Tesla Fires Top Executive Omead Afshar as EV Sales Slump in U.S. and Europe,"Leadership shakeup comes amid Cybertruck struggles, declining deliveries, and rising pressure from Chinese rivals","Tesla (TSLA, Financials) dismissed Omead Afshar, one of Elon Musk's most trusted executives, as the company faces falling electric vehicle sales in its key North American and European markets; the leadership shakeup comes days before the end of Q2 and amid signs of deepening trouble at the EV giant..Afshar, a Tesla veteran since 2011 and once dubbed Musk's fixer, was promoted in October to lead regional operations. His exit follows a 15% sales drop in China in May, five months of shrinking deliveries in Europe, and a projected 10% global decline for the quarter ending June 30. Tesla stock fell 3.8% Wednesday to $327.55 and is now down 19% in 2025..Musk's pivot away from new EV models toward speculative ventures like robotaxis and humanoid robots is drawing scrutiny from investors. Tesla's limited robotaxi pilot in Austin launched June 22 but showed signs of immaturity: the vehicles operated in a narrow zone with human safety drivers, and multiple erratic incidents have prompted a review by the National Highway Traffic Safety Administration..Despite the hype, Tesla still generates nearly all its revenue from electric vehicles, batteries, and charging infrastructureleaving analysts wary of its ability to compete with aggressive Chinese automakers in a softening global market..This article first appeared on GuruFocus.",https://finance.yahoo.com/news/tesla-fires-top-executive-omead-220023537.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 05:37:00,Tesla Stock Slipped. Its Head of Sales and Manufacturing Left.,"Omead Afshar, who had just been promoted to the role last year, has left Elon Musk’s electric vehicle maker, according to multiple reports.","Omead Afshar, who had just been promoted to the role last year, has left Elon Musk’s electric vehicle maker, according to multiple reports.",https://finance.yahoo.com/m/e2aacb77-4a85-3e40-9d2c-2c8e15a0579f/tesla-stock-slipped-its-head.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 04:58:00,Longtime Musk Aide and Fixer Omead Afshar Leaves Tesla,"The departure of Afshar, who oversaw sales and manufacturing in North America and Europe, comes as Tesla struggles with declining global sales.","The departure of Afshar, who oversaw sales and manufacturing in North America and Europe, comes as Tesla struggles with declining global sales.",https://finance.yahoo.com/m/27a3fb3a-1c0f-3731-b9c3-67c5b3e07239/longtime-musk-aide-and-fixer.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
2025-06-27 06:50:00,UPDATE – DitchIt Detonates Iconic Twitter HQ Sign,"DitchIt Detonates Iconic Twitter Sign Twitter Bird Iconic sign detonated SAN FRANCISCO, June 26, 2025 (GLOBE NEWSWIRE) -- In a dramatic move that captured the spirit of Silicon Valley disruption, Ditchit — the emerging online marketplace and OfferUp competitor — made headlines by acquiring and detonating the original 560-pound Twitter bird sign once perched atop Twitter’s San Francisco headquarters. Filmed in the Nevada desert, the explosive sendoff featured a 15-person production crew, four Tes","Twitter Bird.SAN FRANCISCO, June 26, 2025 (GLOBE NEWSWIRE) -- In a dramatic move that captured the spirit of Silicon Valley disruption, Ditchit — the emerging online marketplace and OfferUp competitor — made headlines by acquiring and detonating the original 560-pound Twitter bird sign once perched atop Twitter’s San Francisco headquarters..Filmed in the Nevada desert, the explosive sendoff featured a 15-person production crew, four Tesla Cybertrucks, and a Hollywood pyrotechnics expert. More than just spectacle, it was a bold declaration: Ditchit is here to challenge legacy tech giants and build a marketplace that puts people before profits..“Elon Musk rebranded Twitter to X in support of free expression. We’re doing the same for local marketplaces,” said Ditchit spokesperson James Deluca. “Today’s platforms are overrun with ads, fees, and algorithms that favor businesses over people. Ditchit is different—free to use, ad-free, and built to empower real communities and real sellers.”.The 12-foot Twitter logo, known as “Larry,” was acquired earlier this year for $34,000. Initially bought for its symbolic value, Ditchit ultimately chose to turn the icon into a statement of disruption..The video of the sign’s explosive finale, now live on YouTube, captures a cinematic moment that’s quickly gaining viral traction..But Larry’s story isn’t over. Pieces of the iconic sign have been collected and will be auctioned off through a sealed-bid sale on the Ditchit app starting today. All proceeds will go to the Center for American Entrepreneurship, a nonprofit dedicated to advancing innovation and supporting the next generation of entrepreneurs..“Many entrepreneurs get their start on local marketplace apps,” Deluca said. “We’re committed to supporting that journey—not just with our platform, but through meaningful action.”.With this stunt, Ditchit isn’t just blowing up a symbol of big tech—it’s ushering in a new era for local marketplaces, one grounded in transparency, accessibility, and community..About Ditchit.Ditchit is a local marketplace built with a community-first mindset. Unlike traditional platforms, it’s completely free to use, with no ads or fees—making buying and selling simple and fair. Founded in 2024, the Ditchit app is available on iOS and Android..Contact: James Deluca James.deluca@ditchit.com (415) 867-4226.A photo accompanying this announcement is available at: https://www.globenewswire.com/NewsRoom/AttachmentNg/759ddf78-1090-4766-ac39-921262bb003a.A video accompanying this announcement is available at:https://www.globenewswire.com/NewsRoom/AttachmentNg/0e55ef90-9f6d-4ca8-b437-1f96d36c0d1e.",https://finance.yahoo.com/news/ditchit-detonates-iconic-twitter-hq-205000005.html,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
