,Datetime,headline,description,article,link,analysis
0,2025-06-27 03:07:00,Starbucks Elects Dambisa Moyo and Marissa Mayer to its Board of Directors,"SEATTLE, June 26, 2025--Starbucks Coffee Company (NASDAQ: SBUX) today announced the election of Dr. Dambisa Moyo and Marissa Mayer to its Board of Directors, effective as of June 25, 2025.","SEATTLE, June 26, 2025--(BUSINESS WIRE)--Starbucks Coffee Company (NASDAQ: SBUX) today announced the election of Dr. Dambisa Moyo and Marissa Mayer to its Board of Directors, effective as of June 25, 2025..Moyo has been co-principal of Versaca Investments, a family office focused on growth investing globally, since she co-founded it in 2021. With more than 30 years of experience analyzing macroeconomic and international affairs, Moyo is a skilled global economist..She previously served as CEO of Mildstorm LLC, a financial and economics firm, from 2015 to 2021. Prior to that, she worked at Goldman Sachs and at the World Bank. Moyo is on the boards of Chevron Corporation and Condé Nast and previously served on the boards of SABMiller, Barclays Bank, 3M, and Seagate Technologies..""It’s a privilege to join the Starbucks Board of Directors and contribute to a company that has become a global symbol of connection, resilience, and innovation,"" said Moyo. ""Starbucks commitment to uplifting local communities and creating economic opportunities worldwide is inspiring. I look forward to supporting the company’s long-term growth as it continues to lead with purpose, impact, and integrity."".Mayer is the CEO and Founder of Sunshine AI, a technology startup that uses AI to automate everyday tasks. She brings more than 20 years of consumer technology experience to corporate innovation and growth..She previously served as CEO, President and a director on the board of Yahoo!, Inc. Before joining Yahoo!, Inc. she spent 13 years at Google, Inc. Mayer currently serves on the boards of Walmart, AT&T, and Hilton Hotels & Resorts. She has also served on the board of Nextdoor..""At its core, Starbucks has always blended meaningful relationships with a spirit of innovation. I’m honored to join the Starbucks Board of Directors at such a dynamic time in the company’s journey,"" said Mayer. ""The Back to Starbucks strategy is a powerful call to return to the brand’s strengths while embracing the digital tools that will define the next generation of customer and partner experience."".""I’m excited to welcome Dambisa and Marissa to the Starbucks board of directors,"" said Brian Niccol, Starbucks chairman and chief executive officer. ""They bring deep experience in areas that matter to our future, including technology, transformation, and global affairs. We have a strong board, and Dambisa and Marissa’s additional insights will be a big asset as we accelerate our Back to Starbucks strategy.""",https://finance.yahoo.com/news/starbucks-elects-dambisa-moyo-marissa-200700223.html,Governance Risk
1,2025-06-27 02:31:00,Community Trust Bancorp And 2 Other Dividend Stocks For Reliable Income,"Over the last 7 days, the United States market has risen by 1.7%, contributing to a 12% increase over the past year, with earnings projected to grow annually by 15% in the coming years. In this favorable environment, selecting dividend stocks like Community Trust Bancorp that offer reliable income can be a strategic choice for investors seeking stability and consistent returns amidst market growth.","Over the last 7 days, the United States market has risen by 1.7%, contributing to a 12% increase over the past year, with earnings projected to grow annually by 15% in the coming years. In this favorable environment, selecting dividend stocks like Community Trust Bancorp that offer reliable income can be a strategic choice for investors seeking stability and consistent returns amidst market growth..Name.Dividend Yield.Dividend Rating.Valley National Bancorp (VLY).5.01%.★★★★★☆.Universal (UVV).5.61%.★★★★★★.Southside Bancshares (SBSI).4.98%.★★★★★☆.First Interstate BancSystem (FIBK).6.68%.★★★★★★.Ennis (EBF).5.41%.★★★★★★.Dillard's (DDS).6.34%.★★★★★★.Credicorp (BAP).5.06%.★★★★★☆.CompX International (CIX).4.79%.★★★★★★.Columbia Banking System (COLB).6.28%.★★★★★★.Chevron (CVX).4.78%.★★★★★★.Click here to see the full list of 150 stocks from our Top US Dividend Stocks screener..Let's explore several standout options from the results in the screener..Simply Wall St Dividend Rating: ★★★★☆☆.Overview: Community Trust Bancorp, Inc. operates as the bank holding company for Community Trust Bank, Inc., with a market capitalization of approximately $948.47 million..Operations: Community Trust Bancorp, Inc.'s revenue primarily comes from Community Banking Services, which generated $249.26 million, along with contributions from the Holding Company at $88.77 million..Dividend Yield: 3.6%.Community Trust Bancorp offers a reliable dividend yield of 3.61%, though it is below the top 25% of US dividend payers. Its dividends have been stable and growing over the past decade, supported by a low payout ratio of 39%. Recent earnings growth and strong net interest income highlight financial health, but there's insufficient data on future dividend sustainability. A recent board change saw Eugenia Crittenden Luallen appointed as Chairman of the Audit Committee..Take a closer look at Community Trust Bancorp's potential here in our dividend report..The analysis detailed in our Community Trust Bancorp valuation report hints at an deflated share price compared to its estimated value..Simply Wall St Dividend Rating: ★★★★☆☆.Overview: Independent Bank Corporation, with a market cap of $653.33 million, operates as the bank holding company for Independent Bank, offering various banking services across the United States..Operations: Independent Bank Corporation generates revenue primarily through its banking services segment, with Independent Bank contributing $222.72 million..Dividend Yield: 3.3%.Independent Bank Corporation's dividend yield of 3.3% is reliable and stable over the past decade, though lower than top-tier US payers. The company's payout ratio of 30.9% indicates dividends are well-covered by earnings, despite recent insider selling. Trading significantly below estimated fair value suggests good relative value compared to peers. Recent results show net interest income growth, but slight declines in net income and earnings per share; a share buyback program was also completed recently for $7.23 million.",https://finance.yahoo.com/news/community-trust-bancorp-2-other-173152311.html,no risk
2,2025-06-27 01:30:00,Shell in Early Talks to Acquire Rival BP,A deal would be a landmark combination of two supermajor oil companies. Shell issued a formal stock exchange denial of takeover talks.,A deal would be a landmark combination of two supermajor oil companies. Shell issued a formal stock exchange denial of takeover talks.,https://finance.yahoo.com/m/4c643e92-516c-3b93-8fb6-27f3e298b6d5/shell-in-early-talks-to.html,Market Risk Regulatory Risk Operational Risk Reputational Risk
3,2025-06-26 21:04:00,Chevron Restarts Operations at Leviathan Gas Field After Ceasefire,"CVX has resumed gas operations at Leviathan, restoring critical exports to Egypt and Jordan, and stabilizing regional supply.","Chevron Corporation CVX has resumed operations at the Leviathan natural gas field off Israel’s Mediterranean coast following a temporary suspension triggered by the Iran-Israel conflict. The restart comes after a ceasefire agreement and a security reassessment by Israeli authorities. As the operator of Leviathan, Chevron prioritized safety while preparing for a quick recovery once the situation stabilized. This move underscores Chevron’s ability to navigate complex geopolitical environments without compromising long-term energy commitments to Israel, Egypt and Jordan..In response to an emergency directive issued by Israel’s Energy Ministry, due to growing national security concerns following escalating tensions with Iran, Chevron shut down its operations at the giant Leviathan natural gas field on June 13..With a stall in Leviathan field operations, a significant share of Israel’s export capacity got stuck, disrupting the vital energy corridor linking the Mediterranean with North Africa and Europe. The move also cut a key gas supply route to Egypt just as summer demand surged..The temporary halt at Leviathan, which was active since June 13, led to an estimated $12 million in revenue loss. Chevron and its partners acted swiftly to mitigate the impact, aligning closely with government directives. The resumption of Leviathan ensures the continuity of gas exports that supply nearly 15-20% of Egypt’s energy demand. With operations now restored, Egypt is preparing to restart gas supplies to industrial sectors, a testament to the critical role Chevron plays in regional energy stability..Leviathan ranks among the largest deepwater natural gas fields globally. It is the most stable and robust energy hub in the Mediterranean. Located in the Levant Basin, the field has seen approximately 85 trillion cubic feet of hydrocarbon discoveries over the past two decades. Thanks to its vast resource base, Leviathan’s natural gas reserves have grown around 40% in the past 10 years. The project, jointly developed by NewMed Energy (45.34%), Chevron Mediterranean (39.66%) and Ratio Energies (15%), is one of the region’s largest gas ventures, supplying natural gas to Israel, Egypt and Jordan..Currently producing 12 billion cubic meters (bcm) of gas annually, Leviathan is set to expand output to 14 bcm by 2026, reinforcing its role as a major regional supplier.",https://finance.yahoo.com/news/chevron-restarts-operations-leviathan-gas-120400606.html,no risk
4,2025-06-26 20:37:00,This Week In Energy Transition - Carbon Management and Renewable Fuels Propel Sustainable Energy Shift,"Recent findings from BCC Research highlight key advancements in the global transition towards sustainable energy. The 2024 Sustainable Energy Research Review details the increasing momentum of carbon management technologies and renewable fuels in supporting decarbonization across various sectors, including those traditionally hard to abate, such as heavy industry and transportation. The report outlines significant growth projections for the Carbon Dioxide Removals (CDR) market, carbon...","Recent findings from BCC Research highlight key advancements in the global transition towards sustainable energy. The 2024 Sustainable Energy Research Review details the increasing momentum of carbon management technologies and renewable fuels in supporting decarbonization across various sectors, including those traditionally hard to abate, such as heavy industry and transportation. The report outlines significant growth projections for the Carbon Dioxide Removals (CDR) market, carbon credits, and biorefinery products, underscoring the broader shift towards sustainable practices and carbon management solutions. Additionally, the adoption of carbon pricing and sustainable marine fuels are gaining traction, reflecting an ongoing commitment to reducing emissions worldwide..Elsewhere in the market, Chroma ATE was a standout up 10% and ending the day at NT$430.00. Meanwhile, Tesla softened, down 3.8% to end trading at $327.55..Anticipated growth in the EV and ESS markets positions Chroma ATE strategically for rapid revenue expansion. Click here to explore the full narrative on Chroma ATE's investment potential..Don't miss our recent Market Insights article, ""Opportunities In The Turbulent Transition To Greener Energy,"" highlighting emerging investment openings in renewable and nuclear sectors amidst ongoing market disruptions—read it now before others do..Applied Materials ended the day at $183.07 up 1.6%..First Solar finished trading at $152.70 up 1%..Chevron closed at $143.23 down 0.2%..Jump into our full catalog of 160 Energy Transition Stocks, which includes Nexans, Shanghai Electric Group and Rockwell Automation, here..Ready For A Different Approach? Trump has pledged to ""unleash"" American oil and gas and these 22 US stocks have developments that are poised to benefit..This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned..Sources:.Simply Wall St.""Sustainable Energy Markets Forecast Strong Growth Through 2029"" from BCC Research LLC on GlobeNewswire (published 25 June 2025)",https://finance.yahoo.com/news/week-energy-transition-carbon-management-113711337.html,no risk
5,2025-06-26 19:31:00,3 Dividend Stocks To Consider With Up To 3.3% Yield,"The United States market has shown positive momentum, climbing 1.7% in the last week and up 12% over the past year, with earnings anticipated to grow by 15% annually in the coming years. In this environment, dividend stocks can be an attractive option for investors seeking steady income and potential growth, particularly those offering yields up to 3.3%.","The United States market has shown positive momentum, climbing 1.7% in the last week and up 12% over the past year, with earnings anticipated to grow by 15% annually in the coming years. In this environment, dividend stocks can be an attractive option for investors seeking steady income and potential growth, particularly those offering yields up to 3.3%..Name.Dividend Yield.Dividend Rating.Universal (UVV).5.61%.★★★★★★.Southside Bancshares (SBSI).4.98%.★★★★★☆.Peoples Bancorp (PEBO).5.50%.★★★★★☆.First Interstate BancSystem (FIBK).6.68%.★★★★★★.Ennis (EBF).5.41%.★★★★★★.Dillard's (DDS).6.34%.★★★★★★.CompX International (CIX).4.79%.★★★★★★.Columbia Banking System (COLB).6.28%.★★★★★★.Citizens & Northern (CZNC).5.99%.★★★★★☆.Chevron (CVX).4.78%.★★★★★★.Click here to see the full list of 150 stocks from our Top US Dividend Stocks screener..Here we highlight a subset of our preferred stocks from the screener..Simply Wall St Dividend Rating: ★★★★★☆.Overview: Hancock Whitney Corporation, with a market cap of $4.81 billion, operates as the financial holding company for Hancock Whitney Bank, offering traditional and online banking services to commercial, small business, and retail customers in the United States..Operations: Hancock Whitney Corporation generates revenue of $1.40 billion from its banking operations, catering to commercial, small business, and retail clients in the U.S..Dividend Yield: 3.2%.Hancock Whitney's dividend payments have been both stable and reliable over the past decade, with a current yield of 3.22%, which is lower than the top quartile of US dividend payers. The dividends are well-covered by earnings, maintaining a low payout ratio of 30.3%. Recent earnings growth supports this coverage, with net income rising to US$119.5 million in Q1 2025 from US$108.61 million a year prior. Additionally, the company affirmed its quarterly dividend at $0.45 per share for June 2025 payment..Get an in-depth perspective on Hancock Whitney's performance by reading our dividend report here..Upon reviewing our latest valuation report, Hancock Whitney's share price might be too pessimistic..Simply Wall St Dividend Rating: ★★★★☆☆.Overview: Shore Bancshares, Inc. is a bank holding company for Shore United Bank, N.A., with a market cap of $508.62 million..Operations: Shore Bancshares, Inc. generates its revenue primarily through its Community Banking segment, which accounts for $201.67 million..Dividend Yield: 3.2%.Shore Bancshares has consistently delivered reliable dividends over the past decade, with a current yield of 3.16%, below the top US dividend payers. The payout ratio is low at 32.3%, indicating strong earnings coverage. Recent Q1 2025 earnings showed net income growth to US$13.76 million from US$8.18 million, supporting dividend sustainability. The company declared a $0.12 per share quarterly dividend for May 2025 and filed a shelf registration for $19.22 million in common stock offerings related to ESOPs.",https://finance.yahoo.com/news/3-dividend-stocks-consider-3-113151637.html,Market Risk   Behavioral Risk
6,2025-06-26 18:30:00,Israel resumes natural gas exports from Karish and Leviathan gas fields,The reopening of these fields follows a ceasefire between Israel and Iran.,"Israel's Leviathan and Karish natural gas fields have resumed operations after a near two-week shutdown due to regional conflict, reinstating vital energy exports to Egypt and Jordan..The Leviathan and Karish fields, managed by Chevron and Energean, respectively, recommenced operations after a ceasefire was reached between Israel and Iran..The reopening of these fields, which had been closed since 13 June, is set to restore natural gas supplies under existing sales agreements..The move is expected to increase gas exports, raise tax revenues, and provide greater operational flexibility for the electricity and industrial sectors..Earlier this month, Israel recommenced limited natural gas exports, prioritising domestic needs..The cessation of operations at Leviathan led to a loss of $12m (NIS40.62m) in revenue, according to a regulatory filing by Chevron's partners in Leviathan, NewMed and Ratio Energies, reported Reuters..The companies are considering seeking compensation from the state for the production halt..Leviathan, which currently produces 12 billion cubic metres (bcm) of gas annually for Israel, Egypt and Jordan, is projected to increase its output to approximately 14bcm by 2026..Israeli gas is a significant energy source for Egypt, accounting for 15–20% of its consumption, as per the Joint Organisations Data Initiative..The disruption forced Egyptian fertiliser producers to cease operations due to the gas supply shortfall..However, Egyptian Prime Minister Mostafa Madbouly has announced that gas supplies to factories will recommence from Friday, as stated in a cabinet release..According to Egyptian sources, imports from Israel are expected to ramp up gradually, with full operations likely by Saturday..Egypt also imports liquefied natural gas (LNG) for regasification. Currently, only one of the country's three floating storage and regasification units (FSRUs) is operational..The Energos Eskimo FSRU is set to become operational shortly, enhancing Egypt's capacity to regasify imported LNG and integrate it into the national gas grid..""Israel resumes natural gas exports from Karish and Leviathan gas fields"" was originally created and published by Offshore Technology, a GlobalData owned brand... .The information on this site has been included in good faith for general informational purposes only. It is not intended to amount to advice on which you should rely, and we give no representation, warranty or guarantee, whether express or implied as to its accuracy or completeness. You must obtain professional or specialist advice before taking, or refraining from, any action on the basis of the content on our site.",https://finance.yahoo.com/news/israel-resumes-natural-gas-exports-103022719.html,Low Risk
7,2025-06-26 18:00:00,Fortera Strengthens Leadership Team to Support Low-Carbon Cement Project Delivery and Global Growth,"SAN JOSE, Calif., June 26, 2025--To accelerate commercial deployment and global expansion of its breakthrough low-carbon cement technology, Fortera has appointed Sandy Clancy as Chief Projects Officer and John Dotson as General Counsel. Clancy will oversee Fortera’s project pipeline and enhance the internal systems needed to bring the company’s cost-effective ReCarb® plants online at scale and on time. Dotson will lead the company’s legal and regulatory efforts, supporting fundraising, complianc","Veterans of JERA and Chevron bring deep infrastructure, legal, and international expansion experience to support Fortera’s project pipeline.SAN JOSE, Calif., June 26, 2025--(BUSINESS WIRE)--To accelerate commercial deployment and global expansion of its breakthrough low-carbon cement technology, Fortera has appointed Sandy Clancy as Chief Projects Officer and John Dotson as General Counsel. Clancy will oversee Fortera’s project pipeline and enhance the internal systems needed to bring the company’s cost-effective ReCarb® plants online at scale and on time. Dotson will lead the company’s legal and regulatory efforts, supporting fundraising, compliance management, and long-term partner agreements that drive Fortera’s expansion into the $500 billion global cement market..""We’re building a company that can revolutionize the way cement and concrete are made around the world,"" said Ryan Gilliam, CEO of Fortera. ""It takes more than breakthrough technology; it requires delivering an economically competitive solution for our partners. Sandy and John bring the strategic insight and operational rigor to transform this massive market with solutions that are ready to deploy now, not years down the road."".Sandy Clancy (Chief Projects Officer).Prior to Fortera, Sandy Clancy served as General Manager of Project Delivery at JERA Americas, where he led infrastructure projects for one of the world’s largest energy producers. He has overseen complex energy and industrial builds across the United States and Canada, focusing on engineering, execution, and stakeholder alignment in highly regulated environments..At Fortera, Clancy is tasked with building a project execution engine to meet the company’s global growth plans. He will oversee the development of internal systems, cross-functional teams, and delivery strategies for infrastructure projects that bring Fortera’s high-performance ReAct™ green cement to market through strategic partnerships with existing cement producers..""Joining the Fortera team is a unique opportunity to deliver technology that creates both environmental and economic value,"" said Clancy. ""We're engineering solutions that work with existing infrastructure while delivering superior performance. My focus is on building a project delivery pipeline that brings cost-effective, scalable cement solutions to market efficiently and repeatedly, creating value for our partners while meeting the need for cleaner materials."".John Dotson (General Counsel).John Dotson brings over 25 years of legal leadership spanning multinational companies and high-growth startups. He was most recently Senior Vice President, General Counsel & Secretary at HDT Global, and previously served in senior roles at Chevron and Raytheon, overseeing multi-billion-dollar international deals, joint ventures, and regulatory frameworks. At Fortera, he will lead all legal, regulatory, and compliance strategies, focusing on governance and enabling infrastructure projects, international expansion, project financing, and strategic partnerships that unlock immediate market deployment.",https://finance.yahoo.com/news/fortera-strengthens-leadership-team-support-100000910.html,no risk
8,2025-06-26 17:45:00,Will Palantir Technologies Stock Reach a $1 Trillion Valuation by 2027?,"Palantir's valuation has been riding high due to both strong results and solid support from retail investors.  An increase in defense spending could bolster its growth prospects.  The stock has become a speculative investment, which can make it a volatile holding.","Palantir's valuation has been riding high due to both strong results and solid support from retail investors..An increase in defense spending could bolster its growth prospects..The stock has become a speculative investment, which can make it a volatile holding..10 stocks we like better than Palantir Technologies ›.Palantir Technologies (NASDAQ: PLTR) soared 85% this year as of June 23. The data analytics company expects to grow its top line by more than 36% in 2025 as its robust artificial intelligence (AI) platform has been experiencing a surge in demand. Palantir also benefited from being a popular stock among retail investors, which enabled its valuation to continue rising higher..Entering trading on Tuesday, its market cap was $330 billion, with its valuation now being higher than Coca-Cola, UnitedHealth Group, Chevron, and many other blue-chip companies. The big questions, however, are can it still go higher, and can it top a $1 trillion valuation within the next couple of years?.Palantir's share price got disconnected from its fundamentals a long time ago. Looking at earnings or revenue multiples isn't helpful in assessing the stock simply because there's no way to rationalize the stock's value in such a way. It generated more than $3.1 billion in sales over the past four quarters, and right now, it's trading at around 110 times its sales. .To help put this into perspective, consider the following scenario: If top AI stock Nvidia were to trade at such a multiple, its market cap would be north of $16 trillion, and it would be more than four times as valuable as the next largest stock..Because of this, Palantir is more of a speculative stock than a blue-chip investment. Its valuation is closely tied to future growth expectations. One reason why those expectations may rise is the push from U.S. President Donald Trump for allies to ramp up defense spending. Palantir is a trusted provider of counterterrorism software for government agencies around the world. If countries spend more on defense, Palantir may inevitably benefit. Many of America's allies in NATO appear to be willing to invest as much as 5% of their GDP on defense. The U.S., which spends the most, spent around 3.2% of its GDP on defense last year, according to data from NATO. .If Palantir's growth rate accelerates due to an influx of government spending, it's conceivable that this already scorching-hot stock could rally and go into yet another gear. Over a two-year window, Palantir's stock would need to rise by another 200% to get close to a $1 trillion market cap.",https://finance.yahoo.com/news/palantir-technologies-stock-reach-1-094500874.html,Market Risk
9,2025-06-26 16:20:00,Shell denies it's in takeover talks with BP,"STORY: Shell has denied reports it’s in talks with BP regarding a takeover.The Wall Street Journal reported Wednesday (June 25) that negotiations were at an early stage.But Shell said no talks were talking place, and it was focused on raising its own value.BP declined to comment.The British oil giant has been the subject of takeover speculation for years, due to the relative underperformance of its stock.It is currently valued at around $80 billion, compared to over $200 billion for Shell.However, any takeover would be likely to face intense scrutiny by watchdogs.A deal of such size hasn’t been attempted in the energy industry since U.S. majors Exxon and Chevron held preliminary talks during the COVID pandemic.The Journal said potential terms of a deal weren’t known, with a tie-up far from certain.CNBC cited sources saying BP could be broken up if a takeover goes through.Shell Chief Executive Wael Sawan has repeatedly said his firm has a very high bar for making acquisitions, with buying back shares a better use of money.","STORY: Shell has denied reports it’s in talks with BP regarding a takeover..The Wall Street Journal reported Wednesday (June 25) that negotiations were at an early stage..But Shell said no talks were talking place, and it was focused on raising its own value..BP declined to comment..The British oil giant has been the subject of takeover speculation for years, due to the relative underperformance of its stock..It is currently valued at around $80 billion, compared to over $200 billion for Shell..However, any takeover would be likely to face intense scrutiny by watchdogs..A deal of such size hasn’t been attempted in the energy industry since U.S. majors Exxon and Chevron held preliminary talks during the COVID pandemic..The Journal said potential terms of a deal weren’t known, with a tie-up far from certain..CNBC cited sources saying BP could be broken up if a takeover goes through..Shell Chief Executive Wael Sawan has repeatedly said his firm has a very high bar for making acquisitions, with buying back shares a better use of money.",https://finance.yahoo.com/video/shell-denies-takeover-talks-bp-072011978.html,Market risk Operational risk Strategic risk Systemic risk
