,Datetime,headline,description,article,link,responses
0,2025-06-27 06:59:00,The biggest AI players for investors to keep an eye on,"Artificial intelligence (AI) is reshaping Wall Street as major players vie for dominance. Yahoo Finance Technology Editor Dan Howley joins Asking for a Trend to explain how OpenAI (OPAI.PVT), Microsoft (MSFT), Alphabet (GOOG, GOOGL), Meta (META), Elon Musk's xAI (XAAI.PVT), and more are competing to lead the next wave of generative AI. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.","Artificial intelligence (AI) is reshaping Wall Street as major players vie for dominance..Yahoo Finance Technology Editor Dan Howley joins Asking for a Trend to explain how OpenAI (OPAI.PVT), Microsoft (MSFT), Alphabet (GOOG, GOOGL), Meta (META), Elon Musk's xAI (XAAI.PVT), and more are competing to lead the next wave of generative AI..To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here..Hello and welcome to Ask Your For a Trend. I'm Josh Lipton and for the next half hour, we are breaking down the trends of today that will move stocks tomorrow. There's a lot to keep track of, so we're focusing on what you need to know to get ahead of the curve. AI is still alive and well on Wall Street, but the landscape keeps changing as various players enter the AI arena. For more on what you need to know about the biggest names in the game, let's get to Yahoo Finance's Tech editor, and that would be Dan Howley. Dan. .That's right, Josh. We're just going to break down some of the, the bigger names. So to start things off, obviously the 800 pound gorilla, that's OpenAI, and we're going to put Microsoft in there together with them since they have teamed up. Obviously, it's been a very lucrative relationship between the two. Uh, OpenAI has ChatGPT kind of kicked off the entire generative AI explosion. Uh, Microsoft has been using that technology in its co-pilot and and its Azure platform. But more recently, the two were at loggerheads. They can't come to an agreement over how OpenAI should restructure its own business. And so that is leading to some reports that Microsoft may be, you know, trying to work on its own generative AI offerings while OpenAI may be trying to work on its own productivity suites. But after OpenAI and Microsoft, there's obviously Google. Uh, we have their Gemini service. It's similar to what you would get out of ChatGPT. Uh, they offer document creation. Uh, you can upload files, you can create images, things along those lines, but it also has the power of Google behind it. You might have probably used Gemini if you've used basically any Google product at this point because it's across the entire company's ecosystem, whether that's through YouTube, mail, docs, even your regular Google search, when you see AI overviews, that's powered by Gemini. Then after that, we have obviously Meta. Uh, Mark Zuckerberg is trying to recadjigger the company once again after the metaverse fiasco that didn't really go anywhere except for give us some weird looking legless avatars. Uh, now he's going all in on AI, and they seem to be doing relatively well here. Uh, they obviously have Meta AI. It's available through Facebook, Instagram, and WhatsApp. The problem though is their most recent model called Lama for Behemoth seems to be delayed, and there's no end in sight for when that delay will end. And so now, Meta is going out and scooping up talent from other AI companies, whether that's the CEO of Scale AI, Alexander Wang. Uh, we also had Nat Friedman, the former GitHub CEO, uh and Safe Super Intelligence, their CEO, Daniel Gross. They've all been packed up. Uh, Sam Altman at OpenAI said Meta is trying to offer some of his employees hundred million dollars to sign on. So I said that on a podcast with his brother, so we can't really know if that's for certain. Uh, after that, obviously, there's some others. There's XAI. That's from Elon Musk. He offers Grock through that. That is their chatbot. You can get it through X. Uh, you can use it on the website or through an app. Big thing about Grock is it's able to pull data not only from the web, but also from X, so it can get live data through there. Then we have others, we have Perplexity. That is basically a search engine built with generative AI in mind. Probably the best example of a competitor to what Google has to offer. Uh, it also has a lot of sourcing available, so it'll show you the sources of each, from each of those results that you search for. Obviously, you can also generate images if you want to do that, things along those lines. Uh, and then finally, we have Anthropic. That's gotten a lot of funding through Google and Amazon. It's available through a number of services, and they as well offer a kind of web browser experience where you can search, you can create different documents and things along those lines. But really, those are the major players that you have to be watching out for. There's a few others. Uh, obviously, we have Thinking Machines from OpenAI alumni. We also have a few others like Mistral out of France. Uh, but these seven here are really the biggest players at the moment. .All right. Thank you, Dan. ",https://finance.yahoo.com/video/biggest-ai-players-investors-keep-215934000.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 7,
  ""Technology Risk"": 9,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 7,
  ""ESG Risk"": 0
}
```"
1,2025-06-26 17:10:00,Nvidia stock notches fresh record high in remarkable 2025 turnaround,Nvidia stock hit a new all-time high on Wednesday.,"Nvidia stock (NVDA) rose more than 4% Wednesday to notch a new record high of $154.31, completing a remarkable turnaround from earlier this year. The chipmaker's stock was up over 1% in premarket trading on Thursday..Nvidia shares previously hit a record close of $149.43 on Jan. 6. The stock's gain also saw shares reach a fresh intraday high during Wednesday's trading session..The AI chipmaker’s stock has seen a significant upswing following its first quarter earnings in late May, which featured revenue that beat Wall Street’s expectations and showed the company continuing to thrive despite a new export ban on sales of its chips to one of its largest markets: China..Read more about Nvidia's stock moves and today's market action..Shares have jumped more than 14% since Nvidia’s May 28 earnings report, far ahead of the S&P 500’s (^GSPC) roughly 3.4% gain in that time frame..Loop Capital analyst Ananda Baruah on Wednesday raised his price target on Nvidia stock to $250, the highest of Wall Street analysts tracked by Yahoo Finance. The new price target suggests Nvidia's market cap could soar to $6 trillion from its current $3.6 trillion level..""While it may seem fantastic that NVDA fundamentals can continue to amplify from current levels, we remind folks that NVDA remains essentially a monopoly for critical tech, and that it has pricing (and margin) power,"" Baruah wrote in a note to clients, adding that Loop Capital analysts see the market for AI chips growing to $2 trillion in 2028..To be sure, questions remain over whether AI infrastructure demand will continue to rise, as Big Tech companies rake in far less revenue than they're spending to build the tech..Nvidia stock had struggled in the months following its record close in January as President Trump embarked on his trade war and artificial intelligence competition in China rattled the broader markets..Nvidia shares plunged in late January when a new cheap AI model from Chinese startup DeepSeek prompted demand concerns for its AI chips. Then, the stock plummeted again in April as Trump's steep tariff announcements rocked the stock market. Trump enacted a ban on sales of Nvidia’s H20 chips to China, costing the chipmaker $2.5 billion in lost revenue in the first quarter and a projected $8 billion loss in the second quarter..At the same time, Nvidia's competition in the Chinese market was heating up from domestic tech giant Huawei. Huawei is reportedly readying a new advanced AI chip that would be competitive with Nvidia's prior-generation H100 chips.",https://finance.yahoo.com/news/nvidia-stock-notches-fresh-record-high-in-remarkable-2025-turnaround-200401502.html,"```json
{
  ""Strategic Risk"": 0,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 0,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 0,
  ""ESG Risk"": 0
}
```"
2,2025-06-27 12:16:00,"Why Your 9-to-5 Feels More Like 24/7, Report Says","One in three employees feels that the pace of work in today's world has become impossible to keep up with, new research by Microsoft (NASDAQ:MSFT) found. In its 2025 Work Trend Index Annual Report, Microsoft charts the emergence of what it calls a ""Frontier Firm,"" or a company that's ""redesigning business processes around AI and agents to scale rapidly, operate with agility, and generate value faster than traditional companies."" These new, ultraproductive companies will be hindered by one major","One in three employees feels that the pace of work in today's world has become impossible to keep up with, new research by Microsoft (NASDAQ:MSFT) found..In its 2025 Work Trend Index Annual Report, Microsoft charts the emergence of what it calls a ""Frontier Firm,"" or a company that's ""redesigning business processes around AI and agents to scale rapidly, operate with agility, and generate value faster than traditional companies."".These new, ultraproductive companies will be hindered by one major roadblock: the seemingly infinite workday..Don't Miss:.GoSun's breakthrough rooftop EV charger already has 2,000+ units reserved — become an investor in this $41.3M clean energy brand today..Invest early in CancerVax's breakthrough tech aiming to disrupt a $231B market. Back a bold new approach to cancer treatment with high-growth potential..This infinite workday ""starts early, mostly in email, and quickly swells to a focus-sapping flood of messages, meetings, and interruptions,"" the report says..An average employee is online by six am, reviewing a fraction of the 117 emails they'll receive that day. By the time they're entering peak productivity hours, between 9 a.m. and 11 a.m. and again between 1 p.m. and 3 p.m., they're knee-deep in meetings and receiving workflow interruptions every two minutes..Things aren't winding down in the evening, either. Microsoft's data shows that there has been a 16% increase in meetings after 8 p.m. year-over-year. Additionally, the average employee receives 50+ teams messages outside of core work hours..Trending: This Jeff Bezos-backed startup will allow you to become a landlord in just 10 minutes, with minimum investments as low as $100..All of this leads to a sense of exhaustion and an increased mental load. Just under half of all employees, 48%, and a full 52% of leaders say their ""work feels chaotic and fragmented,"" thanks to the frenetic pace and constant digital noise..Microsoft says that while the trend of the 24/7 workday is concerning, it doesn't have to be that way. ""AI can give us the leverage to redesign the rhythm of work, refocus our teams on new and differentiating work, and fix what has become a seemingly infinite workday. The question isn't whether work will change. It's whether we will,"" the report reads..Outsourcing mundane tasks is a good place to start. ""By deploying AI and agents to streamline low-value tasks—status meetings, routine reports, admin churn—leaders can reclaim time for what moves the business: deep work, fast decisions, and focused execution,"" the report says.",https://finance.yahoo.com/news/why-9-5-feels-more-041602900.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 5,
  ""Market Risk"": 0,
  ""Technology Risk"": 10,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 6,
  ""ESG Risk"": 3
}
```"
3,2025-06-27 10:10:00,SoftBank aims to become leading 'artificial super intelligence' platform provider,"TOKYO (Reuters) -SoftBank Group CEO Masayoshi Son on Friday said he wants the Japanese technology investment group to become the biggest platform provider for ""artificial super intelligence"" within the next 10 years.  ""We want to become the organiser of the industry in the artificial super intelligence era,"" Son told shareholders at the group's annual shareholder meeting.  Son likened his aim to the position of dominant technology platform providers such as Microsoft, Amazon and Alphabet's Google, which benefit from a ""winner takes all"" dynamic.","By Anton Bridge.TOKYO (Reuters) -SoftBank Group CEO Masayoshi Son on Friday said he wants the Japanese technology investment group to become the biggest platform provider for ""artificial super intelligence"" within the next 10 years..""We want to become the organiser of the industry in the artificial super intelligence era,"" Son told shareholders at the group's annual shareholder meeting..Son likened his aim to the position of dominant technology platform providers such as Microsoft, Amazon and Alphabet's Google, which benefit from a ""winner takes all"" dynamic..At previous public appearances Son has described artificial super intelligence as AI technology that is able to exceed human capabilities by a factor of 10,000..SoftBank has returned to making the aggressive investments that made Son's name, such as an early bet on Alibaba, but that at times spectacularly backfired, like its massive investment in failed shared office provider WeWork..Its AI-related deals this year include acquiring U.S. semiconductor designer Ampere for $6.5 billion and the underwriting of up to $40 billion of new investment in ChatGPT maker OpenAI..Son said SoftBank's total agreed investment in OpenAI now stood at $32 billion since first investing in Autumn 2024 and that he regretted not investing earlier. He also said he expected OpenAI to eventually list publicly..""I'm all in on OpenAI,"" Son said..SoftBank had owned around 5% of Nvidia until it sold the stake in 2019, before ChatGPT generated a surge in AI interest at the end of 2022. Nvidia now dominates AI chipmaking and has become one of the world's most valuable companies..Son's latest spending spree follows years of retrenchment after the high-growth tech startups into which SoftBank had invested billions of dollars through its Vision Fund investment vehicles crashed in value from 2022..Fortunes changed again when SoftBank raised some $5 billion listing chip designer Arm in September 2023. The rise in the British firm's share price since has boosted the group's assets, against which SoftBank can take out debt to fund new investment..Son said SoftBank was committed to prudent investment and that, throughout the peaks and troughs, SoftBank has maintained the financial resources and user base such that it can take risks at times..Earlier in June it raised $4.8 billion from the sale of some shares in T-Mobile..(Reporting by Anton Bridge; Editing by Muralikumar Anantharaman and Christopher Cushing)",https://finance.yahoo.com/news/softbank-aiming-become-leading-artificial-021026565.html,"```json
{
  ""Strategic Risk"": -7,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": -5,
  ""Technology Risk"": 3,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 2,
  ""ESG Risk"": 0
}
```"
4,2025-06-27 10:48:00,Watch These Microsoft Price Levels as Stock Continues Hitting All-Time Highs,"Microsoft shares on Thursday hit the latest in a series of record highs, boosted by Wall Street optimism about the company's position amid the AI boom. Monitor these key chart levels.","Microsoft shares on Thursday hit the latest in a series of record highs, boosted by Wall Street optimism about the company's position amid the AI boom..After closing above the 50- and 200-day moving averages last month, the stock has traded higher within a narrow ascending channel on low volatility..The measured move technique, which calculates the distance of the ascending channel from its low to high and adds that amount to the pattern’s top trendline, projects an upside target of $565..Investors should eye key support levels on Microsoft's chart around $468 and $425...Microsoft shares (MSFT) hit another all-time high on Thursday, boosted by investor enthusiasm about the company's position in the AI race..On Tuesday, Wells Fargo lifted its price target on the stock, citing the company's early AI lead and strong incumbent position in a tight market. Analysts at Wedbush on Wednesday also raised their price target, noting that the tech giant stands to benefit from a massive adoption wave of Copilot and Azure monetization as enterprise clients deploy AI tools,.The bullish commentary comes after a report surfaced last week that the Windows maker is planning to cut thousands of jobs as it looks to reduce labor costs while increasing its AI spending..Microsoft shares have gained 18% since the start of the year, making the stock the second-best performer in the Magnificent 7, behind only Facebook and Instagram parent Meta Platforms (META). Microsoft gained 1.1% on Thursday to close at $497.45..Below, we break down the technicals on Microsoft’s chart and point out key levels worth watching out for..After closing above the 50- and 200-day moving averages last month, Microsoft shares have traded higher within a narrow ascending channel on low volatility..The move has coincided with the relative strength index remaining mostly above the indicator’s 70 threshold, signaling strong momentum. In another sign that the bulls remain in control of the price action, the 50-day MA crossed above the 200-day MA earlier this month to generate a golden cross pattern..However, more recently, the stock formed a doji in Wednesday’s trading session, a candlestick pattern that indicates indecision among buyers and sellers..Let’s apply technical analysis to project a potential upside target if Microsoft shares continue their trend higher and also identify support levels worth eyeing during pullbacks..Investors can use the measured move technique, also known by chart watchers as the measuring principle, to project a potential upside target in the stock.",https://finance.yahoo.com/news/watch-microsoft-price-levels-stock-014847128.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 7,
  ""Market Risk"": 10,
  ""Technology Risk"": 10,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 8,
  ""ESG Risk"": 0
}
```"
5,2025-06-27 09:02:00,How Microsoft’s Products Keep Users Coming Back,"Microsoft Corporation (NASDAQ:MSFT) is one of the Best Wide Moat Dividend Stocks to Invest in. Microsoft Corporation (NASDAQ:MSFT) has a diverse range of technology operations, including cloud computing, Microsoft Office 365, gaming, LinkedIn, search, advertising, and more. A key advantage for Microsoft Corporation (NASDAQ:MSFT) is that many of these areas involve services rather than physical […]","Microsoft Corporation (NASDAQ:MSFT) is one of the Best Wide Moat Dividend Stocks to Invest in..A development team working together to create the next version of Windows..Microsoft Corporation (NASDAQ:MSFT) has a diverse range of technology operations, including cloud computing, Microsoft Office 365, gaming, LinkedIn, search, advertising, and more..A key advantage for Microsoft Corporation (NASDAQ:MSFT) is that many of these areas involve services rather than physical products, making them less vulnerable to tariffs. This has likely contributed to the company’s strong showing in 2025. The stock has surged by over 17% since the start of the year..However, a major driver of its success is Azure, which is part of its cloud segment. Azure plays a central role in powering Microsoft Corporation (NASDAQ:MSFT)’s artificial intelligence capabilities and overall tech strategy..Microsoft Corporation (NASDAQ:MSFT) retains its users by prioritizing customer needs, fostering innovation, and delivering strong, consistent user experiences across its wide range of products. The company uses approaches such as tailoring solutions to individual needs, applying design thinking in product creation, and regularly updating its offerings based on user feedback. By serving both individual consumers and large businesses, Microsoft strengthens its competitive edge through a broad and differentiated product lineup..Microsoft Corporation (NASDAQ:MSFT) offers a quarterly dividend of $0.83 per share and has a dividend yield of 0.68%, as of June 24. The company has raised its dividends for 20 consecutive years..While we acknowledge the potential of MSFT as an investment, we believe certain AI stocks offer greater upside potential and carry less downside risk. If you’re looking for an extremely undervalued AI stock that also stands to benefit significantly from Trump-era tariffs and the onshoring trend, see our free report on the best short-term AI stock..READ NEXT: 10 Best Dividend Stocks for a Bear Market and 10 Best Dividend Stocks to Buy for Dependable Dividend Growth..Disclosure. None.",https://finance.yahoo.com/news/microsoft-products-keep-users-coming-010233696.html,"```json
{
  ""Strategic Risk"": 7,
  ""Operational Risk"": 3,
  ""Financial Risk"": 8,
  ""Market Risk"": 7,
  ""Technology Risk"": 5,
  ""Credit Risk"": 6,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 6,
  ""ESG Risk"": 4
}
```"
6,2025-06-27 09:41:00,AI and Cloud Push Microsoft Stock (MSFT) Towards Long-Term Supremacy,"U.S. tech giant Microsoft (MSFT) briefly lost its crown as the world’s most valuable company but has since surged back, gaining 38.5% from its April 2025 low of $344, outperforming the S&P 500 (SPX) by ~20%. Back in March, I viewed the dip as a rare buying opportunity for a fundamentally sound business. Now, with the stock back at record highs, investors who acted are seeing strong returns. The key question now: Is there still room to run? I believe the answer is a confident yes. While the stock","U.S. tech giant Microsoft (MSFT) briefly lost its crown as the world’s most valuable company but has since surged back, gaining 38.5% from its April 2025 low of $344, outperforming the S&P 500 (SPX) by ~20%..Easily unpack a company's performance  with TipRanks' new KPI Data for smart investment decisions.Receive undervalued, market resilient stocks right to your inbox  with TipRanks' Smart Value Newsletter.Back in March, I viewed the dip as a rare buying opportunity for a fundamentally sound business. Now, with the stock back at record highs, investors who acted are seeing strong returns. The key question now: Is there still room to run? I believe the answer is a confident yes..While the stock may remain range-bound in the near term due to macroeconomic concerns and uncertainties surrounding partnerships with OpenAI, the long-term investment case remains robust. Microsoft’s diversified portfolio and continued focus on scaling Azure amid the ongoing AI boom make it a solid long-term holding..Microsoft continues to deliver consistent year-over-year growth in revenues and earnings, underpinned by a resilient, diversified business model. All three of its business segments have posted impressive revenue growth rates over the past few years, with Azure’s Intelligent Cloud division leading the charge, posting a compounded annual growth rate, or CAGR, of over 20%. The business consistently improves its quarterly revenue figures year after year, as shown by TipRanks data..Leading enterprises across various sectors are already leveraging Microsoft’s AI, with notable names like Walmart (WMT) in retail and Siemens (SIE) in industrial settings integrating its models into their daily operations. Still, the broader market—particularly mid-sized and smaller companies—remains largely untapped, suggesting significant room for future growth..To meet this rising demand, Microsoft plans to invest $80 billion in AI infrastructure and data centers in FY2025, significantly scaling its capacity to support compute-intensive workloads..At the same time, Microsoft is laying the groundwork in quantum computing. The global market is projected to surge from $1.3 billion in 2024 to $93 billion by 2040, and Microsoft’s development of its Majorana-1 quantum system signals a clear ambition to lead in this next wave of computing innovation..At the Build 2025 conference held in May 2025, Microsoft outlined its vision for the “open agentic web”—an internet ecosystem powered by AI agents that can navigate and interact across web platforms on behalf of users, teams, and organizations.",https://finance.yahoo.com/news/ai-cloud-push-microsoft-stock-004100907.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 7,
  ""Market Risk"": 9,
  ""Technology Risk"": 9,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 8,
  ""ESG Risk"": 0
}
```"
7,2025-06-27 08:10:00,"Billionaire predicts 'Fantastic 40' companies by 2030, one surprise pick stands out",Apple and Alphabet are not on the list.,"Billionaire predicts 'Fantastic 40' companies by 2030, one surprise pick stands out originally appeared on TheStreet..Billionaire investor Philippe Laffont recently dropped a list of what he believes will be the ""Fantastic 40"" companies by 2030, including a surprising asset in the list..Alongside popular giants such as Microsoft (Nasdaq: MSFT), Nvidia (Nasdaq: NVDA), Amazon (Nasdaq: AMZN), and Meta (Nasdaq: META), Laffont placed the world's largest cryptocurrency, Bitcoin, too among his list of the ""Fantastic 40"" companies..Laffont is the founder of the hedge fund and tech-focused venture capital firm Coatue Management, which has invested in crypto companies like on-chain analytics platform Dune Analytics, blockchain data platform Chainalysis, and crypto miner Hut 8 (Nasdaq: HUT)..The investor made the remarks while he appeared on CNBC's ""Squawk Box"" show on June 25..Join the discussion with Scott Melker on the Roundtable here..The billionaire has often acknowledged that he missed the Bitcoin bus earlier and is rather late to the party. He once said that he wakes up at three in the morning and goes:.""What an idiot. Why didn’t I invest more in Bitcoin?"".While it might seem odd that Laffont put Bitcoin on par with some of the world's most valuable companies, his assessment isn't entirely off the mark..If Bitcoin — with a market cap of $2.13 trillion — were an asset, it would be the world's fifth-largest company behind Nvidia ($3.78 trillion), Microsoft ($3.69 trillion), Apple ($3 trillion), and Amazon ($2.3 trillion)..Laffont thinks Bitcoin's market cap could potentially grow more than twice to over $5 trillion by 2030. Interestingly, he didn't even include Apple and Alphabet (Nasdaq: GOOGL) in his ""Fantastic 40"" companies list..As per Kraken's price feed, Bitcoin was trading at $107,511.08 at press time, up 77% a year..Billionaire predicts 'Fantastic 40' companies by 2030, one surprise pick stands out first appeared on TheStreet on Jun 26, 2025.This story was originally reported by TheStreet on Jun 26, 2025, where it first appeared.",https://finance.yahoo.com/news/billionaire-predicts-fantastic-40-companies-231000066.html,"```json
{
  ""Strategic Risk"": 6,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 5,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 6,
  ""ESG Risk"": 0
}
```"
8,2025-06-27 07:28:00,"Microsoft (MSFT) Eyes $530 as AI Bets Begin to Pay Off, Says Morgan Stanley",Wall Street sees Azure's AI payoff accelerating; next-gen cloud race heats up,"Morgan Stanley raised its price target on Microsoft (MSFT, Financials) to $530 from $482, pointing to strengthening returns from the company's aggressive push into generative AI; the bank reiterated its Overweight rating, citing increased confidence in Azure's growth outlook..Warning! GuruFocus has detected 6 Warning Sign with MSFT..The firm updated its capital expenditureimplied revenue models and said Microsoft's partnership with OpenAI continues to enhance Azure's value proposition; while some investors still question the ROI on large-scale AI spending, Morgan Stanley believes the payoff is becoming increasingly evident..The analyst said Microsoft is primed for the next phase of AI innovation; solid execution and first-mover advantage in enterprise AI are expected to drive sustained upside..This article first appeared on GuruFocus.",https://finance.yahoo.com/news/microsoft-msft-eyes-530-ai-222829847.html,"```json
{
  ""Strategic Risk"": 9,
  ""Operational Risk"": 0,
  ""Financial Risk"": 8,
  ""Market Risk"": 9,
  ""Technology Risk"": 8,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 7,
  ""ESG Risk"": 0
}
```"
9,2025-06-27 05:02:00,"Tech, Media & Telecom Roundup: Market Talk","Find insight on Deutsche Telekom, Cellnex, BT Group, and more in the latest Market Talks covering Technology, Media and Telecom.","Find insight on Deutsche Telekom, Cellnex, BT Group, and more in the latest Market Talks covering Technology, Media and Telecom.",https://finance.yahoo.com/m/b073614e-9980-3c72-aac5-d4fa4cd00202/tech-media-telecom.html,"```json
{
  ""Strategic Risk"": 0,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 0,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 0,
  ""ESG Risk"": 0
}
```"
