Datetime,headline,description,article,link,analysis
2025-06-27 04:19:00,Why Airbus Stock Popped Thursday,What's bad news for Boeing is necessarily good news for Airbus.,"The UK Competition and Markets Authority may look into Boeing's planned acquisition of Spirit Aerosystems..Spirit supplies plane parts to both Boeing and its rival Airbus..If Boeing buys Spirit, Airbus could end up buying plane parts from a competitor..10 stocks we like better than Airbus SE ›.Airbus (OTC: EADSY) stock rose strongly on Thursday to close the day up 3.7%, on some disturbing news for a competitor. Over in England, the British Competition and Markets Authority is reportedly looking into Boeing's plan to (re-)acquire Spirit AeroSystems... with an eye to forbidding it..Once upon a time, Spirit was part of Boeing. But in 2005, Boeing spun off Spirit in a move designed to boost profits. That didn't work out as planned, however, so roughly one year ago, Boeing announced it would buy back its former fuselage manufacturing subsidiary for $4.7 billion..Spirit, however, has in the meantime become a supplier to both Boeing and Airbus. If reintegrated into Boeing, this would necessarily affect Airbus, and perhaps negatively so, by requiring Airbus to effectively subsidize a rival anytime it buys plane parts from Spirit..So while the Competition and Markets Authority hasn't started an official investigation yet, nor made 100% clear what it would look into if it does, that's probably part of its concern. For now, all the Authority is doing is inviting comments from ""interested parties"" on whether it should or shouldn't open a formal review..The deadline for submitting such comments is July 15..Meantime of course, Boeing has sunk time and money (and attorney's fees) into preparing for an acquisition that might not be allowed to proceed. It will presumably suffer even further distraction (and fees) if forced to fight a U.K. enforcement action forbidding or putting conditions on its purchase of Spirit..And all of these things will weaken its position relative to Airbus..Meanwhile, Airbus stock is profitable, and Boeing still isn't. Advantage: Airbus..Before you buy stock in Airbus SE, consider this:.The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Airbus SE wasn’t one of them. The 10 stocks that made the cut could produce monster returns in the coming years..Consider when Netflix made this list on December 17, 2004... if you invested $1,000 at the time of our recommendation, you’d have $687,731!* Or when Nvidia made this list on April 15, 2005... if you invested $1,000 at the time of our recommendation, you’d have $945,846!*.Now, it’s worth noting Stock Advisor’s total average return is 818% — a market-crushing outperformance compared to 175% for the S&P 500. Don’t miss out on the latest top 10 list, available when you join Stock Advisor..See the 10 stocks »",https://finance.yahoo.com/news/why-airbus-stock-popped-thursday-201918660.html,No risk.
2025-06-27 04:53:00,May Durable Goods Orders Rise More Than Projected Amid Commercial Aircraft Boost,"US durable goods orders increased more than expected in May, buoyed mainly by robust demand for comm",,https://finance.yahoo.com/news/may-durable-goods-orders-rise-195356527.html,No risk.
2025-06-27 02:55:00,"Gabelli's Bancroft on NATO Spending, Boeing Holdings In GCAD",Gabelli Portfolio Manager and Defense Analyst Tony Bancroft discusses NATO spending and Boeing being a big part of the Gabelli Commercial Aeorspace and Defense ETF (ticker: GCAD).,Gabelli Portfolio Manager and Defense Analyst Tony Bancroft discusses NATO spending and Boeing being a big part of the Gabelli Commercial Aeorspace and Defense ETF (ticker: GCAD).,https://finance.yahoo.com/video/gabellis-bancroft-nato-spending-boeing-175528920.html,No risk.
2025-06-27 02:30:00,"US Equity Indexes Rise as Increased Fed Rate-Cut Expectations Push Treasury Yields, Dollar Lower",US equity indexes rose as growing expectations of three interest-rate cuts by year-end boosted inves,,https://finance.yahoo.com/news/us-equity-indexes-rise-increased-173009696.html,Market Risk 
2025-06-27 00:11:00,"Durable Goods Orders Soar, but the Economy Isn’t Speeding Up","Demand for U.S. durable goods jumped 16.4% in the month of May, reaching its highest level in 11 years, according to data from the Commerce Department. The increase, however, comes because transport-equipment new orders soared 48%, despite a continuing, wider slowdown in business investment.","Demand for U.S. durable goods jumped 16.4% in the month of May, reaching its highest level in 11 years, according to data from the Commerce Department. The increase, however, comes because transport-equipment new orders soared 48%, despite a continuing, wider slowdown in business investment.",https://finance.yahoo.com/m/cb1d6ad2-25b4-3451-9f9b-63e08c38f255/durable-goods-orders-soar-.html,Macroeconomic Risk Market Risk 
2025-06-27 01:01:00,Trump’s Threat of More Tariffs Makes US Trade Partners Wary of Signing Deals,"(Bloomberg) -- Tariff negotiations with the Trump administration are running into roadblocks, as partners including Japan, India and the European Union balk at signing deals without knowing how badly they’ll be hit by separate levies on exports including chips, drugs and steel.Most Read from BloombergUS Renters Face Storm of Rising CostsPhiladelphia Transit System Votes to Cut Service by 45%, Hike FaresMapping the Architectural History of New York’s ChinatownSqueezed by Crowds, the Roads of Cent","(Bloomberg) -- Tariff negotiations with the Trump administration are running into roadblocks, as partners including Japan, India and the European Union balk at signing deals without knowing how badly they’ll be hit by separate levies on exports including chips, drugs and steel..Most Read from Bloomberg.US Renters Face Storm of Rising Costs.Philadelphia Transit System Votes to Cut Service by 45%, Hike Fares.Mapping the Architectural History of New York’s Chinatown.Squeezed by Crowds, the Roads of Central Park Are Being Reimagined.US State Budget Wounds Intensify From Trump, DOGE Policy Shifts.The US Commerce Department is set within weeks to announce the outcomes of its investigations into sectors deemed vital to national security, including semiconductors, pharmaceuticals and critical minerals. The probes are widely expected to result in levies applied under Section 232 of the Trade Expansion Act on a range of foreign-made products in those industries..Problem is, governments seeking agreements to whittle down country-by-country tariffs President Donald Trump announced on April 2, and then suspended till July 9, have no idea where those sectoral levies will land. For many, industry-specific tariffs may be more damaging than the broader levies..Trumponomics Podcast: Can the World Count on TACO Anymore?.“Imagine you’re a Vietnam or Japan or Korea, and you’ve just agreed to some potentially painful compromises on reciprocal tariffs, and the very next day after this is announced, they turn around and levy new 232s against you,” said Deborah Elms, head of trade policy at the Hinrich Foundation. “The last thing you want is to agree to a deal only to be hammered the next day.”.A cautionary tale for many countries is the partial deal Britain accepted. That pact left key details about bilateral steel trade subject to further negotiation on a quota system and stronger origin requirements. In the meantime, the Trump’s tariffs of UK steel remain at 25% — failing to meet the British government’s goal of lowering them to zero..“There is no clarity in how all of these tariffs would interplay, which is also causing major concerns among our partners,” said Wendy Cutler, a former senior US trade negotiator who’s now vice president of the Asia Society Policy Institute..The UK framework showed there is some wiggle room with the US on sectoral tariffs, but other nations should not view it as a template for their own negotiations, according to a White House official. The 232 tariffs are meant to reshore manufacturing of goods viewed as critical to national security, which is separate from the aims of the April 2 tariffs, the official said.",https://finance.yahoo.com/news/trump-threat-more-tariffs-makes-160100498.html,Trade Risk Political Risk Economic Risk 
2025-06-26 23:58:00,"Top Midday Stories: Micron Shares Fall Despite Strong Earnings, Guidance; UK Regulator Investigating Boeing's Spirit Acquisition",All three major US stock indexes were up over 0.5% in midday trading Thursday as the S&P 500 marches,,https://finance.yahoo.com/news/top-midday-stories-micron-shares-155844002.html,"Micron: Market Risk, Company-Specific Risk Boeing/Spirit: Regulatory Risk, Merger & Acquisition Risk"
2025-06-26 22:38:00,Machinists file with labor board to unionize West Virginia Pratt & Whitney workers,"RTX enginemaker Pratt, rival GE Aerospace, and planemakers Boeing and Airbus are expanding operations in southern U.S. states, such as South Carolina and Alabama.  Aircraft startup JetZero recently pledged to open a factory in North Carolina in a $4.7 billion deal backed by big state incentives.","(Reuters) -North America's largest aerospace union has filed a petition with the National Labor Relations Board to represent workers at a Pratt & Whitney engine repair shop in West Virginia, as organizers try to make inroads across southern U.S. states and elsewhere where aerospace companies are growing production..RTX enginemaker Pratt, rival GE Aerospace, and planemakers Boeing and Airbus are expanding operations in southern U.S. states, such as South Carolina and Alabama. Aircraft startup JetZero recently pledged to open a factory in North Carolina in a $4.7 billion deal backed by big state incentives..Pratt's investments in a North Carolina facility recently sparked concerns over job security during recent contract talks between Connecticut-based engine maker and its workers represented by the International Association of Machinists and Aerospace Workers..IAM organizers said the petition filed on Tuesday is to represent 360 Pratt workers at the West Virginia plant who want raises and improved working conditions..""They reached out to us,"" said IAM organizing director Mike Evans of the workers. RTX declined to comment..Workers would need to support the move to unionize during a later vote. Support for collective bargaining at the plant in a state where just under 9% of workers are union members would ""spread very quickly to the other places that do similar work,"" IAM associate Lisa Ferm said in an interview..But gaining ground in states, such as West Virginia, which has laws that make it harder to unionize, remains a challenge for the IAM. The union has made multiple attempts in the past to organize workers at a Boeing factory in South Carolina and is now running radio ads in the state promoting representation..In 2017, a majority of workers rejected union representation at Boeing's 787 plant in South Carolina, which has one of the lowest union membership rates in the United States, at 2.8%, according to data from the U.S. Bureau of Labor Statistics..The IAM in December said Boeing South Carolina workers received a 9% standard wage increase and $12,000 bonus as a result of gains secured by unionized workers in Washington State, who reached a deal a month earlier that raised general wages by 38% over four years..Boeing said in December it plans to invest $1 billion in infrastructure upgrades to its South Carolina 787 jet assembly site and create 500 new jobs over the next five years..(Reporting by Allison Lampert in MontrealEditing by Tomasz Janowski)",https://finance.yahoo.com/news/machinists-file-labor-board-unionize-143827971.html,Operational Risk Financial Risk Reputational Risk 
2025-06-26 23:00:00,Trump Trade: OpenAI’s Altman notes ‘productive’ talks with Trump,"Catch up on the top industries and stocks that were impacted, or were predicted to be impacted, by the comments, actions and policies of President Trump with this daily recap compiled by The Fly: RETALIATORY TARIFFS: The European Union plans to impose retaliatory tariffs on U.S. imports, including on Boeing (BA) aircraft, if President Donald Trump puts a baseline levy on the bloc’s goods as many expect, reported Bloomberg’s Jorge Valero. Until now, the European Commission hasn’t indicated if tha","Catch up on the top industries and stocks that were impacted, or were predicted to be impacted, by the comments, actions and policies of President Trump with this daily recap compiled by The Fly:.Easily unpack a company's performance  with TipRanks' new KPI Data for smart investment decisions.Receive undervalued, market resilient stocks right to your inbox  with TipRanks' Smart Value Newsletter.RETALIATORY TARIFFS: The European Union plans to impose retaliatory tariffs on U.S. imports, including on Boeing (BA) aircraft, if President Donald Trump puts a baseline levy on the bloc’s goods as many expect, reported Bloomberg’s Jorge Valero. Until now, the European Commission hasn’t indicated if that would trigger retaliation from the bloc, but the EU’s industry chief, Stephane Sejourne, told Bloomberg News: “We will need to retaliate and rebalance in some key sectors if the US insists on an asymmetrical deal,” including if the “outcome of the negotiations is that a 10% tariff remains.”  ‘APPROPRIATE’ TO MAINTAIN RATES: John Williams of the New York Federal Reserve said in prepared remarks on Tuesday afternoon: “Given the continued uncertainty, the solid labor market, and inflation still above our 2 percent goal, the FOMC decided at its meeting last week to leave the target range for the federal funds rate unchanged at 4-1/4 to 4-1/2 percent. Maintaining this modestly restrictive stance of monetary policy is entirely appropriate to achieve our maximum employment and price stability goals. It allows for time to closely analyze incoming data, assess the evolving outlook, and evaluate the balance of risks to achieving our dual mandate goals. In addition, the FOMC continues to reduce its holdings of Treasury securities and agency debt and agency mortgage-backed securities. Despite market volatility related to trade policy and other developments, that process continues to go very smoothly.”.‘PRODUCTIVE TALKS’: OpenAI CEO Sam Altman said in a New York Times podcast that he has had productive talks with President Trump about AI and credited him with understanding “the potential for economic transformation, sort of geopolitical importance, the need to build a lot of infrastructure.”  WEDBUSH UPGRADES METALS COMPANY: Wedbush upgraded Metals Company (TMC) to Outperform from Neutral with a price target of $11, up from $6, citing “significantly increased confidence” in the long-term growth story following the executive order signed by President Trump at the end of April. The firm also cites its recent industry checks on boosting domestic critical mineral supply through deep sea mining in its upgrade.",https://finance.yahoo.com/news/trump-trade-openai-altman-notes-140034166.html,Geopolitical Risk Market Risk Financial Risk 
2025-06-26 21:44:00,UK competition watchdog weighs probe into Boeing-Spirit Aero deal,"The Competition and Markets Authority has not yet launched a formal investigation, but has invited comments from interested parties by July 15 to help inform a decision.  Boeing and Spirit did not immediately respond to Reuters requests for comment.  Boeing spun off Spirit's core Wichita and Oklahoma plants in 2005, but in 2024 it agreed to buy back Spirit AeroSystems for $4.7 billion in stock to streamline its operations and improve quality control, ending nearly two decades of independence of the world's largest standalone aerostructures company.","(Reuters) -Britain's competition regulator is considering whether Boeing's deal to acquire its former subsidiary Spirit AeroSystems could affect competition in the country or in other markets, it said on Thursday..The Competition and Markets Authority has not yet launched a formal investigation, but has invited comments from interested parties by July 15 to help inform a decision..Boeing and Spirit did not immediately respond to Reuters requests for comment..Boeing spun off Spirit's core Wichita and Oklahoma plants in 2005, but in 2024 it agreed to buy back Spirit AeroSystems for $4.7 billion in stock to streamline its operations and improve quality control, ending nearly two decades of independence of the world's largest standalone aerostructures company..European rival Airbus had also finalized a deal in April to acquire several Spirit AeroSystems facilities tied to its aircraft programs..(Reporting by Pushkala Aripaka and Shivansh Tiwary in Bengaluru; Editing by Arun Koyyur)",https://finance.yahoo.com/news/uk-competition-watchdog-weighs-probe-134428843.html,Regulatory Risk Financial Risk Operational Risk 
