,Datetime,headline,description,article,link,analysis
0,2025-06-27 03:14:00,"New car price inflation may already be here, and tariffs will make it worse: Cox Automotive","The analysts at Cox Automotive believe tariff-induced price hikes are coming for new cars, and it's possible they're already here.","Analysts at Cox Automotive believe tariff-induced price hikes are coming for new cars — and could already be here..""The new vehicle market is likely to see the return of inflation, and it may already be happening,"" Cox senior economist Charlie Chesbrough said during the company's 2025 midyear review and second-half outlook..""Given the impact of tariffs, prices are likely to start rising at a much faster rate, so the trend suggests higher vehicle prices are coming to the new vehicle market,"" Chesbrough added..Chesbrough said the combination of higher-priced models affected by tariffs coming to replace depleted inventories, the declining use of incentives, and potential supply disruptions will create conditions that will shoot prices higher in the new car market..President Trump's auto sector tariffs began on April 3, but automakers had built up big buffers of non-tariffed supply before then..Supply is a big factor in pricing, and that non-tariff supply is dwindling. Cox data shows that in March, the industry's supply stood at 92 days. In June, that figure fell to 70, with some automakers like Toyota (TM) and Honda (HMC) having around half that amount..""The supply this year has been falling dramatically since March as the tariff-induced buying surge drew down available inventories,"" Chesbrough said..Read more: 6 steps to find cheap car insurance in 2025.Cox division Kelly Blue Book reports the average selling price of a new vehicle crept up to $48,799 in May, up from the month before but below the $50K mark seen in the height of the pandemic..As prices are poised to rise, sales may soon drop accordingly..May's sales pace fell to a seasonally adjusted annual rate of 15.6 million, Chesbrough said, with June slumping even further to 15.3 million, with more declines to follow..""The impact of tariffs have not been felt, and that will change in the 2nd half of this year,"" Chesbrough said..Chesbrough said the Cox team predicts that if tariffs remain in place, sales will fall around 1% to 2% to 15.7 million for the year, down from 15.9 million last year..The pain from falling sales won't hit all automakers uniformly. While GM (GM) performed well in the first half of the year, Cox predicts Toyota (TM) and Ford (FORD) could outperform in the second half, based on strong results in the second quarter. Stellantis (STLA), Volkswagen, and Tesla (TSLA) may suffer as they saw dropping sales and market share in the first half of the year..Pras Subramanian is the lead auto reporter for Yahoo Finance. You can follow him on X and on Instagram.",https://finance.yahoo.com/news/new-car-price-inflation-may-already-be-here-and-tariffs-will-make-it-worse-cox-automotive-191406711.html,1. Market Risk 2. Economic Risk 3. Operational Risk 4. Regulatory Risk
1,2025-06-27 01:18:00,How Trump’s Tariffs Could Upend the Auto Industry—and Raise the Price of Your Next Car,President Trump wants an all-American car. U.S. vehicle sales could plunge by as much as 20% if he uses massive levies to get one.,President Trump wants an all-American car. U.S. vehicle sales could plunge by as much as 20% if he uses massive levies to get one.,https://finance.yahoo.com/m/4d95d3e6-2115-31f7-b447-14ae4f60acc9/how-trump%E2%80%99s-tariffs-could.html,Economic Risk Market Risk Regulatory Risk Supply Chain Risk
2,2025-06-26 20:30:00,Why Ford's EV Sales Could Hit a Speed Bump,"Ford has a healthy balance sheet but faces many headwinds right now.  For Ford Motor Company (NYSE: F) investors, the company's recent EV sales growth is about to hit a speed bump thanks to its popular Mustang Mach-E. Here's what's going on.  Ford has had a rougher time with recalls than many of its competitors recently.","The Detroit carmaker issued a stop sale for all Mustang Mach-E vehicles..It recalled roughly 317,000 Mach-E vehicles for a door lock malfunction..Ford has a healthy balance sheet but faces many headwinds right now..10 stocks we like better than Ford Motor Company ›.When it comes to the global automotive industry, all signs point to an electrified future. Already, China's automotive market is testing 50% market share of electrified vehicles, but electric vehicle (EV) sales progress has been slower to gain traction in the U.S. market..For Ford Motor Company (NYSE: F) investors, the company's recent EV sales growth is about to hit a speed bump thanks to its popular Mustang Mach-E. Here's what's going on..Ford has had a rougher time with recalls than many of its competitors recently. The Detroit icon is no stranger to leading in recall volume, and in the past it's dinged the company's bottom line and hindered profitability. Not all recalls are created equal, and issues that can be fixed with over-the-air updates can be considerably cheaper than having customers bring in their vehicles for a hardware fix..Unfortunately, the recent recall for Ford's Mustang Mach-E could be a little problematic. The automaker issued a global recall for roughly 317,000 Mustang Mach-E vehicles due to a malfunction that could cause drivers to be locked in or out of their vehicle, leaving a potentially dangerous scenario if a person were unable to exit the vehicle..On the bright side, Ford noted that so far no injuries or accidents have been linked to the defect, and that it's currently working on a software fix that will be available during the third quarter. Here's the kicker, though: Ford issued a stop sale for all Mustang Mach-E vehicles until the issue is fixed..For investors, that likely means a dip in EV sales in the near future. Year to date through May, Ford's Mustang Mach-E posted a modest 2.8% gain over the prior year -- far ahead of the gasoline-powered Mustang, which recorded an 18% drop in sales. Meanwhile, Ford's total electrified vehicle sales were up 18%, driven largely by a 31% uptick in hybrid vehicle sales..The problem is that the vast majority of EVs currently aren't profitable, and losing what little scale Ford has built due to the stop-sale pause on the Mustang Mach-E isn't going to help matters. Consider that Ford's Model-e business segment lost $4.7 billion in 2023 before losing almost $5.1 billion during 2024..This all comes at a time when Ford is already dealing with tariff headwinds and the strategies necessary to offset added costs. While Ford believes it can offset some of the tariff impacts, it still sees a net negative impact of roughly $1.5 billion in adjusted earnings before interest and taxes (EBIT) for 2025.",https://finance.yahoo.com/news/why-fords-ev-sales-could-123000549.html,Operational Risk Industry Risk Regulatory Risk
3,2025-06-26 18:33:00,Exclusive: China Is Still Slow-Walking Rare-Earth Exports,"Western companies are struggling to secure approvals for rare-earth imports from Chinese authorities, two weeks after China promised the U.S. it would ease their export. Companies see the challenges as a sign restrictions are here to stay, contrary to White House assertions, and are concerned shortages could soon affect manufacturing.","Western companies are struggling to secure approvals for rare-earth imports from Chinese authorities, two weeks after China promised the U.S. it would ease their export. Companies see the challenges as a sign restrictions are here to stay, contrary to White House assertions, and are concerned shortages could soon affect manufacturing.",https://finance.yahoo.com/m/fae0f6cc-4d28-3e62-8260-3f4f4b6ee1a2/exclusive-china-is-still.html,1. Supply Chain Risk 2. Trade Risk 3. Manufacturing Risk 4. Geopolitical Risk
4,2025-06-26 09:47:00,Ford calls majority of workforce into the office four days a week,"Ford notified employees of the updated policy on June 25, and it takes effect Sept. 1, a spokesperson said.","Ford Motor is calling the majority of its salaried workforce back to the office four days a week, the automaker's latest effort to boost employee and company performance..“Many of our employees have been in the office three or more days per week for some time now. We believe working together in person on a day-to-day basis will help accelerate Ford’s transformation into a higher growth, higher margin, less cyclical and more dynamic company,"" a Ford spokesperson said in a statement in response to a Reuters query..The spokesperson said the new policy affects the majority of its global salaried workforce, but declined to provide a specific number. Ford notified employees of the updated policy on Wednesday, and it takes effect September 1, the spokesperson said..Businesses around the world have grappled with how much flexibility to allow workers since the 2020 coronavirus pandemic. Some, such as JPMorgan and Amazon, have mandated that hybrid workers return five days a week..More: GM revokes remote work status from more white-collar workers, orders them into office.Ford's crosstown rival General Motors faced backlash in late 2022 for calling workers back into the office for three days a week. The company backed off the policy before implementing it in 2023..The Detroit automakers have been trying to woo executives from Silicon Valley who are accustomed to a more flexible working style, while also implementing more strenuous bonus and attendance policies to instill a sense of urgency as the companies race against electric vehicle giants like Tesla..Ford in February slashed stock bonuses for many of its middle managers, in what the company said was a move to incentivize improved performance. GM last year changed its employee performance evaluation ranking to a system that put more pressure on low performers to improve or leave..(Reporting by Nora Eckert; editing by Lisa Shumaker).This story was updated to add a gallery.  .This article originally appeared on Detroit Free Press: Ford calls majority of workforce into the office four days a week",https://finance.yahoo.com/news/ford-calls-majority-workforce-office-014730543.html,Operational Risk
5,2025-06-26 05:55:00,CarDaddy.com to Host No Reserve Auction for Collector-Quality 1995 Ford Mustang GT Owned by Platform Founder,"Cadillac, June 25, 2025 (GLOBE NEWSWIRE) -- In a rare move that's generating buzz across the automotive collector community, Car Daddy has announced a No Reserve Car Auction scheduled for early July, featuring a highly sought-after 1995 Ford Mustang GT. What sets this auction apart is the ownership of the vehicle—this meticulously maintained Mustang belongs to Car Daddy founder John Beebe, who is offering his personal car directly to the public via the very platform he helped build. The vehicle,","Cadillac, June 25, 2025 (GLOBE NEWSWIRE) -- In a rare move that's generating buzz across the automotive collector community, Car Daddy has announced a No Reserve Car Auction scheduled for early July, featuring a highly sought-after 1995 Ford Mustang GT. What sets this auction apart is the ownership of the vehicle—this meticulously maintained Mustang belongs to Car Daddy founder John Beebe, who is offering his personal car directly to the public via the very platform he helped build..The vehicle, a striking 1995 Ford Mustang GT, is a collector-grade example with only 51,285 original miles. It features a 5-speed manual transmission and a powerful 5.0L V8 engine equipped with performance upgrades including a Steeda short-throw shifter, BBK headers, an off-road H-pipe, and a classic Flowmaster exhaust system. The car rides on authentic Cobra wheels and, according to Beebe, has been garage-kept throughout its life, with zero rust..Beebe commented on the decision to list the car on Car Daddy: ""We are so excited to bring this Collector Quality 1995 Ford Mustang GT which features 5-speed manual transmission and only 51,285 miles on it. This vehicle is going live on their website in early July. Vehicle is my own personal car, it's been garage-kept, zero rust. Features 5.0L V8 – Steeda short-throw, BBK headers and off-road h-pipe. Real Cobra wheels and Flowmaster Exhaust. This vehicle looks and sounds amazing."".Car Daddy has become a well-established destination for buying and selling used and classic cars online, offering users a streamlined and accessible platform to reach motivated buyers and passionate collectors nationwide. The decision to list a founder-owned vehicle at no reserve underscores the platform's transparency, trust, and commitment to serving the enthusiast market with integrity. Learn how their car auction platform works by clicking the link..The 1995 Mustang GT represents a key era in American muscle car history, marking the end of the Foxbody legacy and the rise of the SN95 generation. As values of 90s-era performance vehicles continue to climb, examples in original and well-preserved condition have become increasingly difficult to find. With performance enhancements that respect the car's heritage and no reserve pricing, this auction is expected to draw considerable attention from collectors and Mustang fans alike..Industry insiders note that this auction not only brings a desirable car to market but also reflects growing trends in digital automotive marketplaces—where transparency, seller credibility, and collector appeal intersect. The ability for buyers to bid confidently on a founder-owned car directly through a trusted platform adds a layer of authenticity that is rarely seen in online auctions.",https://finance.yahoo.com/news/cardaddy-com-host-no-auction-215500655.html,Financial Risk   Market Risk   Operational Risk   Systemic Risk   No Credit Risk   No Liquidity Risk   No Foreign Exchange Risk   No Regulatory Risk   No Reputation Risk   No Environmental Risk   No Social Risk
6,2025-06-26 02:44:00,"Ford Calls Most Employees Back to Office 4 Days a Week, Starting in September",Ford is set to become the latest major U.S. company to increase its return-to-office requirements.,"Brandon Bell / Getty Images.Ford will require most of its corporate workforce to be in the office at least four days a week starting Sept. 1..Reuters first reported the move Wednesday, which a Ford spokesperson confirmed to Investopedia..Ford becomes the latest major American firm to push for more in-office attendance, joining the likes of JPMorgan Chase and Amazon...Ford (F) is set to become the latest major U.S. company to increase its return-to-office (RTO) requirements, with most corporate employees expected back in the office at least four days a week starting Sept. 1..""Many of our employees have been in the office three or more days per week for some time now,"" a spokesperson for the ""Big Three"" automaker told Investopedia. ""We believe working together in person on a day-to-day basis will help accelerate Ford’s transformation into a higher growth, higher margin, less cyclical and more dynamic company.”.Reuters first reported the policy change Wednesday, noting a company spokesperson said the shift impacts a ""majority of its global salaried workforce,"" without providing a specific number..The move is the latest among a growing trend of some of the largest U.S. employers to ramp up RTO mandates and minimize remote or hybrid work. JPMorgan Chase (JPM), Amazon (AMZN), Uber Technologies (UBER), and Intel (INTC) have revealed plans to raise their in-office requirements, with some offering perks like a more casual dress code to make the transition easier..Ford shares slipped more than 2% in recent trading. They are up nearly 6% since the start of the year..Read the original article on Investopedia",https://finance.yahoo.com/news/ford-calls-most-employees-back-184449293.html,Operational Risk Human Resources Risk Compliance Risk
7,2025-06-26 02:03:00,Exclusive-Ford calls majority of workforce into the office four days a week,"DETROIT (Reuters) -Ford Motor is calling the majority of its salaried workforce back to the office four days a week, the automaker's latest effort to boost employee and company performance.  The spokesperson said the new policy affects the majority of its global salaried workforce, but declined to provide a specific number.  Ford notified employees of the updated policy on Wednesday, and it takes effect September 1, the spokesperson said.","By Nora Eckert.DETROIT (Reuters) -Ford Motor (F)is calling the majority of its salaried workforce back to the office four days a week, the automaker's latest effort to boost employee and company performance..“Many of our employees have been in the office three or more days per week for some time now. We believe working together in person on a day-to-day basis will help accelerate Ford’s transformation into a higher growth, higher margin, less cyclical and more dynamic company,"" a Ford spokesperson said in a statement in response to a Reuters query..The spokesperson said the new policy affects the majority of its global salaried workforce, but declined to provide a specific number. Ford notified employees of the updated policy on Wednesday, and it takes effect September 1, the spokesperson said..Businesses around the world have grappled with how much flexibility to allow workers since the 2020 coronavirus pandemic. Some, such as JPMorgan and Amazon, have mandated that hybrid workers return five days a week..Ford's crosstown rival General Motors faced backlash in late 2022 for calling workers back into the office for three days a week. The company backed off the policy before implementing it in 2023..The Detroit automakers have been trying to woo executives from Silicon Valley who are accustomed to a more flexible working style, while also implementing more strenuous bonus and attendance policies to instill a sense of urgency as the companies race against electric vehicle giants like Tesla..Ford in February slashed stock bonuses for many of its middle managers, in what the company said was a move to incentivize improved performance. GM last year changed its employee performance evaluation ranking to a system that put more pressure on low performers to improve or leave..(Reporting by Nora Eckert;Editing by Lisa Shumaker)",https://finance.yahoo.com/news/exclusive-ford-calls-majority-workforce-165033411.html,Operational Risk
8,2025-06-25 20:20:00,"New to The Street Breaks Interview Records with Global Icons KITON, Goldman Sachs (NYSE: GS), Ford Motors (NYSE: F), and IMG Academy via Merrill Lynch (NYSE: BAC)","KITON Segment Surpasses 1 Million Views as New to The Street Continues to Dominate Financial Media Across Broadcast, Digital, and Outdoor Platforms NEW YORK CITY, NEW YORK / ACCESS Newswire / June 25, 2025 /New to The Street, one of the most influential ...","KITON Segment Surpasses 1 Million Views as New to The Street Continues to Dominate Financial Media Across Broadcast, Digital, and Outdoor Platforms.NEW YORK CITY, NEW YORK / ACCESS Newswire / June 25, 2025 / New to The Street, one of the most influential financial media platforms in the world, has broken new records with its latest wave of interviews featuring legendary fashion house KITON, financial powerhouse Goldman Sachs (NYSE:GS), automotive icon Ford Motor Company (NYSE:F), and elite sports and education institution IMG Academy, featured through its collaboration with Merrill Lynch, a division of Bank of America (NYSE:BAC)..The segment featuring KITON has officially surpassed 1 million views, making it one of the most impactful interviews in the company's 16-year broadcast history. These results underscore New to The Street's expansive influence and trusted position as the go-to media outlet for premium financial storytelling..""We're just getting started,"" said Vince Caruso, Founder and CEO of New to The Street. ""This momentum confirms our platform's power to spotlight the world's most recognized brands while elevating emerging leaders. We expect these numbers to grow even faster as we expand into the Middle East and across Asia by year's end."".In addition to KITON's viral performance, the recent Goldman Sachs and Ford interviews have driven strong national viewership, while the IMG Academy / Merrill Lynch profile continues to generate buzz among investors, educators, and sports fans globally..Each featured interview is supported by New to The Street's unmatched media ecosystem:.National TV broadcasts on Bloomberg TV and FOX Business, reaching over 225 million homes weekly.2.85 million+ YouTube subscribers with powerful cross-promotion.30-day social media campaigns across LinkedIn, X, Instagram, Facebook, and YouTube.Outdoor dominance with 8-story digital billboards in Times Square and across NYC's Financial District.Earned media coverage syndicated to ABC, NBC, and CBS affiliates.With a global audience in over 40 countries, and new offices recently launched in Malaysia and Dubai, New to The Street is poised to become the #1 sponsored and earned financial media platform in the world by 2026..About New to The Street.New to The Street is one of the longest-running U.S. and international financial media TV brands - broadcasting sponsored content since 2009. Airing weekly on Bloomberg TV and FOX Business, the program features interviews with public and private companies, institutional thought leaders, and market disruptors across a range of industries.",https://finance.yahoo.com/news/street-breaks-interview-records-global-145000753.html,Market Risk Financial Risk Regulatory Risk Operational Risk No Credit Risk No Liquidity Risk
9,2025-06-25 21:39:00,"Tesla's robotaxi launch could drive industry disruption and market share gain, analysts say","Piper Sandler backs Tesla as a long-term winner in autos, even as valuation fears swirl.","Tesla's (TSLA) robotaxi could reshape the auto market, Piper Sandler said..In a new note to clients, the firm reiterated its bullish stance, citing Tesla's pioneering work and first-mover advantage in self-driving software. ""Tesla is still the most transformative company in autos,"" analysts led by Alexander Potter wrote. ""Over time, Tesla will likely win."".The report also warns that as self-driving tech scales, the broader auto market is at risk of major disruption, including fewer vehicles sold, higher utilization of fleets, and a shift toward service-based revenue models. Piper Sandler said Tesla could become a consolidator and identified no other winners in the space..Tesla is not the first player in the autonomous race. Google's (GOOG, GOOGL) Waymo launched its driverless taxis in Phoenix in 2018 and now operates fleets in San Francisco, Phoenix, Los Angeles, and Austin. Amazon's Zoox began testing on public roads in 2023. Tesla opened its robotaxi service to limited riders in Austin this Sunday..The company also has several competitors in China. Baidu (BIDU) launched its robotaxi fleet in 2022 and reportedly has plans to expand in Europe..Piper Sandler analysts said other US automakers are falling behind as the future of mobility evolves. GM (GM) and Ford (FORD) are still lagging on software, while Rivian (RIVN) faces execution risks. Stellantis (STLA) has the ""steepest hill to climb"" with manager turnover and geographic complexity..""Each company has pros and cons, but none appear as well-positioned as TSLA,"" they wrote..Still, the firm is realistic about the road ahead. It said Tesla's Q2 results could disappoint and a robotaxi crash could dent the company's lofty valuation, adding that such an event ""appears inevitable."" GM's Cruise shut its robotaxis operations after one of its cars struck a pedestrian in San Francisco in 2023..Tesla's sales have been sagging as the demand for EVs slows and CEO Elon Musk's politics fueled boycotts and demonstrations worldwide. For its first quarter, Tesla's revenue of $19.34 billion and EPS of $0.27 both widely missed Wall Street expectations of $21.43 billion and $0.44, respectively..Its Q1 adjusted profits fell 40% year over year. Its vehicle delivery of 336,681 units was the worst since the second quarter of 2022. Its new car sales in Europe have fallen for five straight months in 2025, down 27.9% year over year in May..Read more: How to avoid Tesla car insurance sticker shock.But Piper Sandler argues that Tesla's lead in autonomy is only growing as full self-driving (FSD) rolls out in more cities and the Trump administration potentially issues more favorable policies.",https://finance.yahoo.com/news/teslas-robotaxi-launch-could-drive-industry-disruption-and-market-share-gain-analysts-say-133937404.html,Market risk  Industry disruption risk  Valuation risk
