Datetime,headline,description,article,link
2025-06-24 01:32:00,"Super Micro, AMD upgrade, Apple & AI: Trending Tickers","Super Micro Computer (SMCI) stock falls after the company announced that it is offering $2 billion in convertible notes. Advanced Micro Devices (AMD) received an upgrade from Melius to Buy from Hold and an increased price target from the firm to $175. Apple (AAPL) is reportedly considering acquiring artificial intelligence (AI) startup Perplexity (PEAI.PVT), according to reports from Bloomberg. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts here.","Super Micro Computer (SMCI) stock falls after the company announced that it is offering $2 billion in convertible notes..Advanced Micro Devices (AMD) received an upgrade from Melius to Buy from Hold and an increased price target from the firm to $175..Apple (AAPL) is reportedly considering acquiring artificial intelligence (AI) startup Perplexity (PEAI.PVT), according to reports from Bloomberg..To watch more expert insights and analysis on the latest market action, check out more Market Catalysts here..Now time for some of today's trending tickers. We are watching Super Microcomputer, advanced micro devices, also known as AMD, and Apple. First up, Super Microcomputer stock sliding after announcing it plans to offer $2 billion in convertible senior notes, due in 2030. Investors can potentially buy an extra $300 million in bonds within about two weeks of the offering, and some of the funds will be used to protect shareholders from stock dilution during the bond to share conversion. One Bloomberg analyst says that the offering is necessary to support growth and should provide a cash boost to help meet AI demand. They you're taking a look at the movement of shares here. They're moving down in reaction by about 4.2%. But, but Jay, as we think about what this cash is needed for and what this essentially is trying to ensure among investors, is that you have more longer-term interest and participants who are looking to see where this cash .infusion could ultimately help them in carrying out some of the scale that's necessary to continue to compete, especially within the demand profile that we've seen for chips right now, and how generative AI has been one of the core drivers of that addressable market. .Well, that's the hope. But right now, investors have been punished owning this stock. And the ones that got in it, remember, when it was, you know, a $200 billion dollar market cap. Is it $25 billion right now? So, while this could help over the near term and hopefully set them up for the long term, uh they've kind of been left behind in the dust and there's just too much competition in the space where they've all of a sudden become the forgotten player in this space. So, to me, this this is good to strengthen the bottom line, but uh you know, technically, fundamentally, they still have a long way to go. So, uh let's hope that this is another step in the right direction to get back to where they once were. .Yeah, absolutely. And especially how the allegations certainly did put a major dent in investor sentiment around this name, still essentially trying to win back perhaps some of that support as well, to your point here. Next up, we're tracking AMD, upgraded to buy from hold at Melius. The firm also raising its price target to $65 or $65 to $175. So, they've raised that price target, so it's now $175. Melius saying that AMD's development in AI accelerators and computing make it particularly attractive in terms of future growth. Additionally, the company is likely to benefit from most hyper-scale cloud computing companies who want to build out artificial intelligence interfacing here. You're taking a look at shares of AMD right now higher by about 1 and a half percent. Where does this sit within your broader evaluation of the chip landscape? .Well, this has been a laggered in the sector for a while. So, to see that upgrade and to see that we've kind of put in a tradeable bottom in the stock to me is good. So, I'm just going to look at this from a trade perspective from a technical perspective because I don't know the ins and outs and I'm not going to profess I do compared to some of the other chip makers in this space. But technically, this just broke a long-term downtrend. Risk reward setup is somewhere where you want to take a shot at this if as long as it stays above that 200 day moving average around 125. I I like it. It looks like it's going to have a little bit more room to run. Uh the target price was about 165 I think you said. 160 looks like a good risk reward setup with a 5 to 10 point downside. So to me, this is a tradeable bottom in the semi space is coming back. And uh there's one big semiconductor stock they've really take them all to another level uh in Nvidia that breaks 150. So to me, I think this is a good place from a risk reward setup to get into the name. .Yeah. One of the other notes within this note or one of the comments within this note, our hunch is that we are in the middle of another move to the upside again, as investors are about to envision even bigger GPU, graphics processing unit, figures in 2026 through 2028. They're counting on a sustainable surge here in inferencing, where investing in AMD's platform seems to be more attractive for hyperscalers and sovereigns. We will see if that comes to fruition here. We got to talk one more name for you though, and that is Apple. Apple potentially looking to make a bid to acquire Perplexity AI. This is according to a Bloomberg report. Perplexity, which was recently valued at $14 billion, would build out Apple's AI infrastructure, specifically an AI search engine. Now, these discussions are in the very early stages, we should note, and it's possible that discussions will not lead to any kind of offer here. And shares of Apple, they're moving lower by about three tenths of a percent, but around that offer too as of right now. You know, as we're seeing this interest from Apple now to make sure that they don't miss out on what the next wave of search engines could look like, powered by generative AI. What does that signal to you about Apple's interest in making its ecosystem even more sticky, and how that would read through to the investor thesis and how that could shift if this does go through? .Well, investors have been waiting for that next big thing from Apple for a long time. But they've been looking on the hardware side. .And that's it. And this this could be it. We we didn't talk about Siri at the last WWDC event which was two weeks ago. It kind of was forgotten where a year ago that's all they focused on was Siri, Siri, Siri. And now it's going to turn on as I say that. I apologize to everyone in the audience. But what is going to happen now is they need to kick the tires on this. And AI perplexity is a known. It's a big name. They have the cash on the sidelines to spend. It's time for them to step up and do something monumental. And if they're going to get into the AI space, this is a name you have to watch carefully. So it could just be talk for now, and I'm sure the price tag is going to be astronomical. But if anyone can afford to do it and anyone needs to change things up, it's Apple. So to have these discussions is a good first step. Let's see where it goes, but they need to shake things up because right now they're just surviving, when they're surviving, they're thriving on their utility metrics and not in the innovation side of things. So let's see if this is a game changer for them. It hovers around 200. It's a nice interesting level. Let's see if you can break it above. .Yeah, to your point, uh what what is, you know, $13, $14 billion in terms of an acquisition when you typically tend to see Apple holding onto hundreds of billions of dollars in cash on hand here. We're going to continue to track all of those names here, and you can too by scanning the QR code on your screen to track all of your Yahoo finances trending tickers throughout the session. ",https://finance.yahoo.com/video/super-micro-amd-upgrade-apple-163213761.html
2025-06-24 13:59:00,US Finalizing $500 Million for African Critical Minerals Railway,"(Bloomberg) -- The US International Development Finance Corp. is finalizing more than $500 million in financing for the Lobito corridor, a railway project that will haul critical minerals from central Africa’s copper belt to an Atlantic port in Angola.Most Read from BloombergBezos Wedding Draws Protests, Soul-Searching Over Tourism in VeniceUS State Budget Wounds Intensify From Trump, DOGE Policy Shifts‘We Were Failed’: Johannesburg Transit Access Remains Scant for CommutersThe DFC is “actively","(Bloomberg) -- The US International Development Finance Corp. is finalizing more than $500 million in financing for the Lobito corridor, a railway project that will haul critical minerals from central Africa’s copper belt to an Atlantic port in Angola..Most Read from Bloomberg.Bezos Wedding Draws Protests, Soul-Searching Over Tourism in Venice.US State Budget Wounds Intensify From Trump, DOGE Policy Shifts.‘We Were Failed’: Johannesburg Transit Access Remains Scant for Commuters.The DFC is “actively negotiating” with stakeholders, including the Angolan government and Trafigura Group over the funding, Conor Coleman, head of investments at DFC, told reporters on the sidelines of the US-Africa Business Summit in the Angolan capital, Luanda, on Monday..“We remain very committed to that project overall and we’re working tirelessly to make sure that project is effectuated,” he said..The DFC first said it’s reviewing financing for the project in 2023. Coleman declined to comment on the reasons for the delay, adding that they’re unrelated to any changes the Trump administration has planned for the DFC..“There’s business as usual” at the DFC, Coleman said. “You’ll see us playing a lot in critical minerals infrastructure, both digital and transportation, as well as energy, especially here on the African continent.”.The DFC has committed a $3.4 million technical assistance grant to Pensana Plc’s rare-earths extraction and processing project in Angola and is in talks to finance Carrinho Group’s agricultural manufacturing plant through a senior secured-debt facility..In separate comments, Angola’s Minister of State for Economic Coordination Jose de Lima Massano attributed the delays to contractual clauses, including guarantees sought by the funders..“These aren’t state loans,” Massano said. “We’re working to ensure the right conditions for private investment to advance quickly.”.Neighboring Democratic Republic of Congo is also asking the DFC to support plans to rehabilitate a railway line from the country’s copper and cobalt mines around the town of Kolwezi that connects to the corridor, Congolese Transport Minister Jean-Pierre Bemba said..The country is already in talks with the European Union and the European Investment Bank about supporting a public-private partnership to develop the project, Bemba said. A small amount of planned funding for the project from USAID was blocked amid cuts to the agency by the Trump administration earlier this year..Congo’s government plans to launch a tender to build the infrastructure in November, with the hope the railway may be running in three years, Bemba said.",https://finance.yahoo.com/news/us-finalizing-500-million-african-055920928.html
2025-06-24 09:31:00,Steve Jobs Believed Teamwork Required 'Bumping Up' Each Other Like 'Old Ugly Rocks' — Here's What He Meant,"Steve Jobs once likened a high-performing team to ""common stones"" spinning in a rock tumbler, noisy, abrasive and ultimately polished to brilliance. What Happened: The anecdote, recorded in a 1995 interview for PBS's ""Triumph of the Nerds"" and rediscovered after his death, captures what the Apple Inc. (NASDAQ:AAPL) co-founder saw as the alchemy of collaboration. Jobs told interviewer Bob Cringely that, as a boy, a widower neighbor showed him a homemade tumbler, ""a motor and a coffee can and a li","Steve Jobs once likened a high-performing team to ""common stones"" spinning in a rock tumbler, noisy, abrasive and ultimately polished to brilliance..What Happened: The anecdote, recorded in a 1995 interview for PBS's ""Triumph of the Nerds"" and rediscovered after his death, captures what the Apple Inc. (NASDAQ:AAPL) co-founder saw as the alchemy of collaboration..Jobs told interviewer Bob Cringely that, as a boy, a widower neighbor showed him a homemade tumbler, ""a motor and a coffee can and a little band between them,"" filled with ""regular old ugly rocks,"" water and grit. After a night of clattering, the stones emerged ""amazingly beautiful,"" he recalled..Don’t Miss:.Maker of the $60,000 foldable home has 3 factory buildings, 600+ houses built, and big plans to solve housing — this is your last chance to become an investor for $0.80 per share..Peter Thiel turned $1,700 into $5 billion—now accredited investors are eyeing this software company with similar breakout potential. Learn how you can invest with $1,000 at just $0.30/share..The tumbling, he said, mirrors ""incredibly talented people bumping up against each other, having arguments, having fights sometimes, making some noise"" until both ideas and individuals are refined. Jobs, then running NeXT and poised to return to Apple, argued that the best companies court constructive friction. “...Working together, they polish each other and they polish the ideas,” he remarked..According to an NBC article from 2017, former colleagues say Jobs organized project rooms so engineers and designers could not avoid debate, a practice later echoed in Apple's iPhone and Pixar's story-brain sessions..Why It Matters: Steve Jobs routinely engineered tension to sharpen ideas, whether by ringing Pixar colleagues ""at any time, day or night, three in the morning"" and expecting instant answers, a habit Pete Docter says he now refuses to copy..His intolerance for half-measures surfaced again this month when tech watchers joked that Jobs would ""have fired everyone"" over a lackluster iOS interface, an exaggeration that nonetheless echoed stories of him dismissing teams that failed to hit the mark on the first iPhone's glass swap and other last-minute pivots..Yet the same razor-edged perfectionism often came wrapped in jolts of generosity meant to keep morale high. Former quality chief Ron Givens recalls Jobs buying a tardy secretary a new Jaguar on the spot, a reward delivered only after a public grilling about her commitment.",https://finance.yahoo.com/news/steve-jobs-believed-teamwork-required-023124944.html
2025-06-24 08:44:00,Court filings reveal OpenAI and io’s early work on an AI device,"The ChatGPT maker seems to be more than a year out from selling its first hardware device, which may not be an in-ear product whatsoever. Given what the company said in this lawsuit, it appears it is also exploring other form factors.","Legal filings submitted earlier this month from lawyers representing OpenAI and Jony Ive’s io reveal new details about the companies’ efforts to build a mass-market AI hardware device..The filings are part of a trademark dispute lawsuit filed this month by iyO, a Google-backed hardware startup developing custom-molded earpieces that connect to other devices. Over the weekend, OpenAI pulled promotional materials related to its $6.5 billion acquisition of Jony Ive’s io startup in order to comply with a court order involved in the suit. OpenAI says it’s fighting iyO’s allegations of trademark infringement..For the last year, OpenAI executives and former Apple leaders now working at io have vigorously researched in-ear hardware devices, according to filings submitted in iyO’s lawsuit. In a June 12 filing, lawyers representing OpenAI and io said the companies purchased at least 30 headphone sets from various companies to explore what’s on the market today. In recent months, OpenAI and io executives also met with iyO’s leadership and demoed their in-ear technology, according to emails revealed in the case..That said, OpenAI’s first device in collaboration with io may not be a pair of headphones at all..Tang Tan, a longtime Apple executive who co-founded io and serves as the startup’s chief hardware officer, claims in a declaration to the court that the prototype OpenAI CEO Sam Altman mentioned in io’s launch video “is not an in-ear device, nor a wearable device.” Tan notes that the design of said prototype in not yet finalized and that the product is at least a year away from being advertised or offered for sale..The form factor of OpenAI and io’s first hardware device has largely remained a mystery. Altman merely stated in io’s launch video that the startup was working to create a “family” of AI devices with various capabilities, and Ive said io’s first prototype “completely captured” his imagination..Altman had previously told OpenAI’s employees at a meeting that the company’s prototype, when finished, would be able to fit in a pocket or sit on a desk, according to the Wall Street Journal. The OpenAI CEO reportedly said the device would be fully aware of a user’s surroundings and that it would be a “third device” for consumers to use alongside their smartphone and laptop..“Our intent with this collaboration was, and is, to create products that go beyond traditional products and interfaces,” said Altman in a declaration to the court submitted on June 12..Lawyers representing OpenAI also said in a filing that the company has explored a wide range of devices, including ones that were “desktop-based and mobile, wireless and wired, wearable and portable.”",https://finance.yahoo.com/news/court-filings-reveal-openai-io-234438912.html
2025-06-24 04:36:00,Is Apple Looking To Catch Up In AI With Big Deal?,Apple’s slow response to the AI megatrend has been a drag on Apple stock. But the company might be looking to catch up with a major acquisition or partnership.,Apple’s slow response to the AI megatrend has been a drag on Apple stock. But the company might be looking to catch up with a major acquisition or partnership.,https://finance.yahoo.com/m/036eb1b4-7079-3501-925b-8a92ac688389/is-apple-looking-to-catch-up.html
2025-06-24 04:54:00,Apple’s Liquid Glass interface improves with release of iOS 26 Beta 2,"These are not likely the final adjustments, given that iOS 26 doesn't launch publicly until the fall. However, they are indications that Apple is actively listening to early user feedback and making tweaks accordingly.","With Monday’s release of iOS 26 Beta 2, Apple has fixed one of the more glaring issues with Liquid Glass, its divisive new user interface design for the iPhone, iPad, and other Apple devices, announced earlier this month at WWDC 2025..The refreshed user interface modernizes the operating system’s look and feel with a design system inspired by the optical qualities of glass, including the way it refracts light and its translucency..However, early iOS 26 testers, somewhat unfairly, were quick to point out the flaws with the updated look in the early developer beta. Though the beta build is not yet finished, users shared screenshots and criticized areas where Liquid Glass fell short in terms of readability and usability..One of the users’ larger concerns was with how Liquid Glass made the Control Center (the menu accessed by swiping down on the right side of the iPhone’s screen) nearly unreadable. Because of its semi-transparent nature, it was hard to differentiate the Control Center’s buttons and sliders from the icons and widgets on the iPhone’s Home Screen that appeared underneath..In the newly released beta, Apple has addressed the problem with the Control Center by adjusting the background blur, which better obscures the Home Screen content underneath..Notifications in the first beta were also hard to read, as many had pointed out. In the updated beta, they’re a bit sharper but still need work, especially for readability on brighter and lighter backgrounds.",https://finance.yahoo.com/news/apple-liquid-glass-interface-improves-195429256.html
2025-06-24 04:50:00,"Apple Explores Generative AI to Accelerate Custom Chip Design, Senior VP Reveals","Apple Inc. (NASDAQ:AAPL) is one of the best QQQ stocks to buy according to hedge funds. On June 18, Reuters reported that Apple’s Senior Vice President of Hardware Technologies, Johny Srouji, presented a speech at the ITF World Conference in Belgium last month, where he mentioned that Apple is exploring the use of GenAI to […]","Apple Inc. (NASDAQ:AAPL) is one of the best QQQ stocks to buy according to hedge funds. On June 18, Reuters reported that Apple’s Senior Vice President of Hardware Technologies, Johny Srouji, presented a speech at the ITF World Conference in Belgium last month, where he mentioned that Apple is exploring the use of GenAI to accelerate and streamline the design of its custom chips. The chips power the company’s range of devices, such as iPhones, iPads, Mac computers, and the Vision Pro AR headset..During his speech, Johny Srouji emphasized the role of cutting-edge tools in chip design and highlighted that EDA/electronic design automation companies are critical in supporting Apple’s chip design complexities. He noted the potential of GenAI and stated that GenAI techniques have a high potential in getting more design work done in less time, which can be a huge productivity boost..A wide view of an Apple store, showing the range of products the company offers..Apple has a history of utilizing AI in its chip design workflows for years and has often relied on third-party EDA firms like Cadence Design Systems Inc. (NASDAQ:CDNS) and Synopsys Inc. (NASDAQ:SNPS). These firms have been actively integrating AI and ML into their offerings. For instance, Synopsys has publicly stated that GenAI can facilitate new methods for chip design..Apple Inc. (NASDAQ:AAPL) designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide..While we acknowledge the potential of AAPL as an investment, we believe certain AI stocks offer greater upside potential and carry less downside risk. If you’re looking for an extremely undervalued AI stock that also stands to benefit significantly from Trump-era tariffs and the onshoring trend, see our free report on the best short-term AI stock..READ NEXT: 30 Stocks That Should Double in 3 Years and 11 Hidden AI Stocks to Buy Right Now..Disclosure: None. This article is originally published at Insider Monkey.",https://finance.yahoo.com/news/apple-explores-generative-ai-accelerate-195052095.html
2025-06-24 04:45:00,US stocks aren’t safe in heated global tensions anymore,Bitcoin's volatility drops below major U.S. stocks as long-term holders drive asset class maturity.,"US stocks aren’t safe in heated global tensions anymore originally appeared on TheStreet..Bitcoin's long-held belief as a major volatile asset has been challenged amid the Iran-Israel conflict. .On June 21, the United States carried out a strike on Iran, where it bombed three of its main nuclear facilities — Fordo, Natanz, and Isfahan. While Bitcoin briefly fell from $103,000 to $100,000, it never dropped below the $100,000 mark, unlike in previous cycles..As of June 23, Bitcoin's 60-day realized volatility had fallen to approximately 27% to 28%, according to Bitwise Europe's André Dragosch, which is lower than the S&P 500, which declined by 30%, the NASDAQ 100 by approximately 35%, and ""Magnificent 7"" by 40%..Join the discussion with Scott Melker on the Roundtable here..The ""Magnificent Seven"" are the top seven U.S. tech stocks that have performed exceptionally well: Apple, Microsoft, Amazon, Nvidia, Alphabet, Meta, and Tesla..However, this is not a one-off situation for Bitcoin. Historically speaking, Bitcoin's volatility has been the lowest..In February 2022, Bitcoin hit volatility levels of 60% to 65% during the onset of the Russia-Ukraine conflict, showing a stark difference from the current pattern, per data available on Glassnode..Analysts also suggest that the difference is mainly attributed to long-term holders and the use of institutional investors..Join the discussion with Mario Nawfal on the Roundtable here. .According to the Glassnode data, over 30% of Bitcoin's circulating supply is controlled by just 216 centralized entities — like exchange-traded funds (ETFs) issuers, crypto exchanges, and corporate treasuries — compared to long-term holders, who now control a record 14.53 million BTC..Arthur Hayes, the co-founder of BitMEX, believes the price trajectory for BTC will remain bullish, supported by both central bank policies and investor confidence..At press time, Bitcoin was trading at $101,197.17, up by 2.16% in the last 24 hours, as per Kraken's price feed..US stocks aren’t safe in heated global tensions anymore first appeared on TheStreet on Jun 23, 2025.This story was originally reported by TheStreet on Jun 23, 2025, where it first appeared.",https://finance.yahoo.com/news/us-stocks-aren-t-safe-194500568.html
2025-06-24 01:48:00,Ireland Warns Thousands of Jobs at Risk From Pharma Tariffs,"(Bloomberg) -- Ireland plans to use its budget cushion to pump money into infrastructure to protect competitiveness as global trade turmoil and tariffs threaten thousands of jobs in the multinational hub.Most Read from BloombergBezos Wedding Draws Protests, Soul-Searching Over Tourism in VeniceOne Architect’s Quest to Save Mumbai’s Heritage From DisappearingUS State Budget Wounds Intensify From Trump, DOGE Policy ShiftsThe small, open economy has a strong fiscal position for now, with a huge bud","(Bloomberg) -- Ireland plans to use its budget cushion to pump money into infrastructure to protect competitiveness as global trade turmoil and tariffs threaten thousands of jobs in the multinational hub..Most Read from Bloomberg.Bezos Wedding Draws Protests, Soul-Searching Over Tourism in Venice.One Architect’s Quest to Save Mumbai’s Heritage From Disappearing.US State Budget Wounds Intensify From Trump, DOGE Policy Shifts.The small, open economy has a strong fiscal position for now, with a huge budget surplus thanks to corporate tax income from US corporates such as Apple Inc. and Pfizer Inc. But with some of that revenue at risk, Finance Minister Paschal Donohoe said Monday that the government must use that money with an eye on the longer term..“One of my deep lessons from the aftermath of the global financial crisis is, when capital investment is decreased, the costs mount up in the future,” he said at Bloomberg’s Future of Finance in Ireland event in Dublin. “If our growth outlook does change, we will use our fiscal position to try to maintain and support capital investment and do all we can to avoid cutting it back again.”.The rapidly changing global backdrop is also raising concern for employment. Pharmaceutical tariffs, if imposed by President Donald Trump, are a key worry, with Donohoe warning they could cost the economy 75,000 jobs..While Donohoe said Ireland remains an attractive destination for investment, both the government and the country’s central bank have had to acknowledge the threats. Both recently cut their growth forecasts, citing Ireland’s large exposure to US President Donald Trump’s volatile trade policies..The US administration has repeatedly singled out the Irish model, with Commerce Secretary Howard Lutnick saying Ireland runs a surplus at America’s expense. Trump even raised the matter with Irish Prime Minister Micheal Martin at a St Patrick’s Day White House reception..While Trump’s policies have raised new threats for Ireland and Europe, governments are also sensing an opportunity to take advantage and boost competitiveness. Germany is increasing spending, providing a fiscal boost for the region’s largest economy, while central bankers and politicians on the continent are talking up the euro’s global profile as US policies shake dollar confidence..“Political events in the US have catalyzed something in Europe and have changed things,” said John O’Toole, global head of multi asset solutions at Amundi. “Europe is now on a path to reasserting itself and standing on its own two feet.”.Real progress is going to require Europe to do a lot more on issues like improving its capital markets and pools of liquidity. And, according to AIB Group Plc Chief Executive Officer Colin Hunt, Europe’s Savings and Investments Union has gained momentum thanks to the “Make America Great Again” movement in the US.",https://finance.yahoo.com/news/ireland-sees-thousands-jobs-risk-130945158.html
2025-06-24 00:55:00,Top Midday Stories: Oil Prices Rise Amid Rising Tensions in Middle East; Novo Nordisk Ends Collaboration With Hims & Hers,All three major US stock indexes were up in late-morning trading Monday after the US strikes on thre,,https://finance.yahoo.com/news/top-midday-stories-oil-prices-155555540.html
