Datetime,headline,description,article,link
2025-06-24 07:14:00,Tesla's robotaxi: Analyst's two highlights from the launch,"Tesla (TSLA) finally launched its highly anticipated robotaxi in Austin, Texas, over the weekend. TD Cowen equity analyst Itay Michaeli says there were two aspects to the launch that went better than expected. Find out what they are in the video above. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.","Tesla (TSLA) finally launched its highly anticipated robotaxi in Austin, Texas, over the weekend. TD Cowen equity analyst Itay Michaeli says there were two aspects to the launch that went better than expected. Find out what they are in the video above..To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here..Day one does seem like it was successful. There were two aspects of the launch that were better than what we would have expected coming in. The first is where the vehicles actually operated or the operational design domain was larger than what we would have expected and some of the pick up and drop off activity looked pretty impressive for a first day in a robotaxi operation. While it's still premature to draw meaningful big picture conclusions from a single day, but so far a pretty impressive launch and we'll kind of have to monitor it in the weeks and months ahead. .How how quickly and aggressively do you think Musk can expand this service across the country? .I think their strategy of a measured approach is the right one. Safety is paramount. We've seen situations in the past where robo taxi networks had safety issues and some of them actually shut down as a result of it. It's we want to first and foremost monitor the safety record, rider and stakeholder feedback in the weeks and months ahead. Does the operational design domain expand from where they are currently? Does the fleet size expand from here? But going at it slow, particularly given Tesla's lead relative to other car companies in the autonomous vehicle space, does give them some breathing room to move slowly. And so execution around that is key. I think if all goes well, probably in the next few months, investors will be asking what the next city could be. And for us, we're also really watching what ends up happening to the consumer fleet. Whether maybe an overlooked opportunity frankly in the Tesla autonomous vehicle story to, you know, roll out eyes off FSD features that could both complement the robo taxi fleet and lead to new services and features for consumers that can drive up not only new revenue streams for Tesla, but also vehicle demand itself. .In this space Musk has plenty of competition. He's got Waymo and Amazon Zoox is in there, and when your clients are asking you what what you think his competitive advantages are, what do you tell them? .Sure. Cost is one of them. Speed is another and the talent they have at Tesla. This is a 1 and a half trillion dollar mobility market in the US. The ride share industry today is only about $60 billion. So we still have a lot more to go. We think Tesla's competitive advantage could really allow them to deploy AVs, both robo taxis and consumer AV features in less dense MSAs, where today the ride share market is not particularly highly penetrated, and because of Tesla's cost advantage because of things like shadow mode validation that they can use from their existing fleet. We think they have an opportunity to launch robo taxis in markets are today less penetrated and complement those with consumer vehicles, and also, of course, lead to new features and services as well. Think of the vehicle getting your deliveries in the middle of the night. Think of dropping you off at the movie theater and picking you up later on. Features that you could charge for and of course, could create an unprecedented proposition for consumer demand across Tesla's vehicles. We know, of course, demand has been more challenging recent quarters. So we look at the AV story is very complementary to the overall EV story and demand story at Tesla, but cost and speed really are key advantages they have today. ",https://finance.yahoo.com/video/teslas-robotaxi-analysts-two-highlights-211437990.html
2025-06-23 22:44:00,"Tesla robotaxis, Apple AI, int'l airlines: Trending Tickers","Tesla (TSLA) launched a small fleet of robotaxis in Austin, Texas, charging $4.20 per ride. According to Bloomberg, Apple (AAPL) executives might be exploring a deal to acquire Perplexity AI (PEAI.PVT), valued at $14 billion, to boost its artificial intelligence (AI) search engine ambitions. International airline stocks Air France (AF.PA), Lufthansa (LHA.DE), and International Consolidated (IAG.L) are under pressure, suspending some Arabian Gulf flights as the tensions between Iran and Israel escalate. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.","Tesla (TSLA) launched a small fleet of robotaxis in Austin, Texas, charging $4.20 per ride..According to Bloomberg, Apple (AAPL) executives might be exploring a deal to acquire Perplexity AI (PEAI.PVT), valued at $14 billion, to boost its artificial intelligence (AI) search engine ambitions..International airline stocks Air France (AF.PA), Lufthansa (LHA.DE), and International Consolidated (IAG.L) are under pressure, suspending some Arabian Gulf flights as the tensions between Iran and Israel escalate..To watch more expert insights and analysis on the latest market action, check out more Morning Brief here..Now time for some of today's trending tickers. We are watching Tesla, Apple, and the Airlines industry. First up, Tesla rolling out its long-awaited robo taxis over the weekend in Austin, Texas. CEO Elon Musk says that the company is starting with a small fleet of about 20 cars in Austin and will eventually expand based on performance. The EV manufacturers charging a flat rate of $4.20 for each ride. Next up, Apple eyeing a potential acquisition bid for perplexity AI according to a report from Bloomberg. A deal would help Apple develop an AI-based search engine. The discussions are in early stages among Apple executives and may not lead to an offer. Perplexity recently completed an investment round that valued it at $14 billion. And finally here, international airline stocks, they are falling as the conflict escalates in the Middle East. This after the US entered the conflict over the weekend striking Iran's underground nuclear facilities. British Airways owned by International Consolidated Airlines Group, Air France and Lufthansa are among the major carriers that are suspending flights in the Arabian Gulf. You can scan the QR code below to track the best and worst performing stocks with Yahoo Finance's trending tickers page. ",https://finance.yahoo.com/video/tesla-robotaxis-apple-ai-intl-134401581.html
2025-06-23 23:52:00,Did Elon Musk nail the Tesla robotaxi launch in Austin?,"Tesla (TSLA) stock is trading higher after the electric vehicle (EV) pioneer's robotaxi launch event in Austin on Sunday. Yahoo Finance Executive Editor Brian Sozzi and Yahoo Finance anchor Julie Hyman chat with Washington Crossing Advisors senior portfolio manager Chad Morganlander and Innovator ETFs chief investment strategist Tim Urbanowicz about the event and what it means for Tesla investors. To watch more expert insights and analysis on the latest market action, check out more Opening Bid here.","Tesla (TSLA) stock is trading higher after the electric vehicle (EV) pioneer's robotaxi launch event in Austin on Sunday. Yahoo Finance Executive Editor Brian Sozzi and Yahoo Finance anchor Julie Hyman chat with Washington Crossing Advisors senior portfolio manager Chad Morganlander and Innovator ETFs chief investment strategist Tim Urbanowicz about the event and what it means for Tesla investors..To watch more expert insights and analysis on the latest market action, check out more Opening Bid here..All right, now let's turn to my stock of the day. That is drum roll please, Tesla. The company rolled out its much anticipated robotaxi in Austin over the weekend, but only for a select few passengers, a who's who of Tesla influencers. Of course, the taxis drove in a small portion of the Texas city with a Tesla employee in the front seat for safety. Jumping into the Yahoo Finance platform, you can see this hype test comes during a lot of hope for Tesla's earnings potential. Uh the company has a trailing price to earnings multiple of 184 times. You're actually seeing that correctly, guys, and a forward PE of 166 times. For perspective, the S&P 500 is only at 21 times. Still with me is my round table of pros, Chad Morganlander, senior portfolio manager at Washington Crossing Advisors, Tim Urbanowitz, chief investment strategist at Innovator ETFs, and of course, Yahoo Finance's very own Julie Hyman. Julie, I know you're a big Tesla fan. So I think you're going to set the tone for this one. Robo taxis floating around streets, driving by themselves in Austin. I'm trying to figure out when this actually starts making money for Tesla because you saw the PE multiples I just mentioned here at the top. This stock continues to be priced for perfection at a time where earnings estimates for Tesla continue to tank. .Earnings, if you're a Tesla bull, you don't care about numbers, right? I mean, you care about vibes. You care about the future. You care about the trillion dollar autonomous opportunity that Dan Ives, whose pictures we're showing, um, is always talking about here and other bulls like Kathy Wood over at Arc. Um, but you really, you, um, sort of put, put your finger on it when you said it's sort of influencers who are invited to this thing. You know, Jordan Klein, who's a desk analyst over at Mizuho, in his morning note, he said, first of all, he said this seems like a yawn the whole event, but he said Tesla controlled the event and test a lot, hand-picking many of the test riders knowing they're are big, they are big Tesla supporters. Like what I, what I would like to see is someone who is not a huge Tesla bull getting one of these cars and give me a review. .Chad, I didn't see you out there in Tesla land driving these taxis around. I love what you said about your holding of Lockheed Martin at the top of the show, 15 times forward earnings. What do you think when you see Tesla getting driverless cars out there, but the forward PE is 166 times, has to drive you crazy, right? .Brian, there's a lot of jazz hands going on here. It's 10 times revenue. Uh you have a multiple that's insane. Um and then there's a, there's another company, a little company called Alphabet, which for full disclosure, I own in personally and Washington Crossing owns. And that's trading at 16 times next year multiple. And they have something called Waymo. So Waymo has been proven, it's working in many cities. And we believe that this whole robotaxi idea that you're going to let your car go out in the middle of the night and pick up drunk people, um, is perhaps, you know, just to make money is perhaps a little bit foolhardy. So we'd be more mindful about owning Tesla, we would pick Alphabet instead. .Chad, would you actually get in one of these to drive? Would you take a ride in this? .I would definitely take a, take a, take a ride in it. And and you know what, this technology is wonderful. Don't get me wrong. Um, this is perhaps going to work, but Waymo is going, is, is light years ahead of them. They're perhaps going to just sell their software package to other companies like General Motors, Toyota, and whatnot. And they're going to go the route of Microsoft when it comes to the software distribution. They have yet to announce that, but it's pretty obvious what, what their game plan is. .Tim, I know you're ditching all your cars and you're going to be a robotaxi fan. I just see, I get that vibe. You know, I just get that vibe. .Yeah, it's, it's an interesting one. I, I kind of see both sides here. I hope Julie doesn't kill me, but uh, you know, I'm kind of in the same boat there. You look at that multiple, it's hard to imagine them growing into that uh, in, in any short period of time. And Brian, as with anything that we've seen from Tesla, it always takes longer than Elon thinks and, and investors think. So we have to be uh, really conscious of that. But I do think the growth story or the, the innovation story is there, and that's going to drive hype, that's going to drive the stock price in the short term. A lot of what our clients are doing is using a risk manage approach to get exposure to stocks like Tesla and, and the Nasdaq 100 as a whole, with strategies like QFLR where they're putting a, a floor, a 10% floor against losses on their Nasdaq exposure, but they're still maintaining that upside. You know, if, if this hype continues to drive these stocks like Tesla higher, they're participating, but they also have that risk management in place. You know, with that multiple, that stock could fall pretty hard and other stocks there, there as well. So we, we think that's a prudent approach right now. .Hey, hey, hey, hey, don't get me wrong. I'd love to ride in one of these things, right? Or give like I'm psyched that Waymo is coming to New York City. Bring me the Tesla robotaxi, but you know, when you're coming out from an investment perspective, you have to separate what you think is cool and what you think is a good investment. .All right, let's leave the panel there. Julie Hyman, I'll see you back at your desk. Chad Morganlander, good to see you. Tim Urbanowitz, appreciate guys coming on. ",https://finance.yahoo.com/video/successful-teslas-robotaxi-launch-145228478.html
2025-06-23 22:09:00,"US-Iran, Powell to testify, Tesla's robotaxi: 3 Things","Here are three of the stories Wall Street is watching on Monday, June 23. Stock futures (ES=F, NQ=F, YM=F) are relatively flat after the US bombed key Iranian nuclear sites. Federal Reserve Chair Jerome Powell hears to Capitol Hill this week to testify before House and Senate committees. Tesla's (TSLA) robotaxis made their debut in Austin, Texas over the weekend. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.","Here are three of the stories Wall Street is watching on Monday, June 23..Stock futures (ES=F, NQ=F, YM=F) are relatively flat after the US bombed key Iranian nuclear sites..Federal Reserve Chair Jerome Powell hears to Capitol Hill this week to testify before House and Senate committees..Tesla's (TSLA) robotaxis made their debut in Austin, Texas over the weekend..To watch more expert insights and analysis on the latest market action, check out more Morning Brief here..I'm Brad Smith. Let's get to the three things that you need to know today. First up, US stock futures fluctuating this morning as investors await a response from Iran following US attacks on its nuclear sites over the weekend. Iran has vowed to retaliate and kept up attacks on Israel fueling fears of a wider war in the Middle East. The spike in oil prices fading today as traders wait to see if there will be any disruption into the straight of hormos. Meanwhile, we've got British Airways and Singapore Airlines cancelling flights to the Persian Gulf increasing disruptions in the region. Plus investors keeping an eye on the Fed this week. Federal Reserve chair Jerome Powell will testify before the House Financial Services Committee amid growing pressure from the Trump administration to cut interest rates. His commentary will be closely watched after Fed Governor Christopher Waller signaled a July rate cut could be on the table. Also, out this week, inflation data closely watched by the Federal Reserve. We'll be bringing that to you. And Tesla has debuted its long-awaited robo taxis. The first robo taxi trips were limited to a narrow portion of Tesla's hometown of Austin, Texas with an employee in each vehicle keeping tabs on the operations. The car maker hand-picked a friendly crop of initial riders which featured investors and social media influencers who live streamed their trips. ",https://finance.yahoo.com/video/us-iran-powell-testify-teslas-130928171.html
2025-06-24 14:04:00,Analysis-Why Tesla's robotaxi launch was the easy part,"(Reuters) -Tesla finally has a robotaxi.  The electric-vehicle maker deployed its first-ever driverless cabs in Austin, Texas, on Sunday in a small-scale test of carefully monitored Model Y vehicles.  Next, the company faces the steep challenge of executing on CEO Elon Musk’s ambition to refine the software and upload it to millions of Teslas within a year or so.","By Rachael Levy, Norihiko Shirouzu and Abhirup Roy.(Reuters) -Tesla finally has a robotaxi. Now comes the hard part..The electric-vehicle maker deployed its first-ever driverless cabs in Austin, Texas, on Sunday in a small-scale test of carefully monitored Model Y vehicles. Next, the company faces the steep challenge of executing on CEO Elon Musk’s ambition to refine the software and upload it to millions of Teslas within a year or so..Such a rapid expansion will prove extremely difficult, about a dozen industry analysts and autonomous-vehicle technology experts told Reuters. These observers expressed a range of views about Tesla’s prospects but all cautioned against assuming a light-speed robotaxi rollout..Some pointed to advantages Tesla might exploit to overtake rivals including Alphabet’s Waymo and a host of Chinese auto and tech companies. Tesla has mass-manufacturing capacity, and it pioneered remote software updates it can use for self-driving upgrades. The automaker also does not use sensors such as radar and lidar like Waymo and most rivals; instead, it depends solely on cameras and artificial intelligence..“A rollout could be really quick. If the software works, Tesla robotaxi could drive any road in the world,” said Seth Goldstein, a Morningstar senior equity analyst, while cautioning that Tesla is still “testing the product.”.In Austin, Tesla launched a choreographed experiment involving maybe a dozen cars, operating in limited geography, with safety monitors in the front passenger seat; remote “teleoperators”; plans to avoid bad weather; and hand-picked pro-Tesla influencers as passengers..For years, Musk has said Tesla would soon operate its own autonomous ride-hailing service and also turn any Tesla, new or used, into a cash-generating robotaxi for its customers. That will be “orders of magnitude” more difficult than testing in Austin, said Bryant Walker Smith, a University of South Carolina law professor focused on autonomous-driving regulation..“It’s like announcing that, ‘I’m going to Mars’ and then, you know, going to Cleveland,” Smith said..Musk has said Tesla will reach Mars, in that metaphor, quite quickly: ""I predict that there will be millions of Teslas operating fully autonomously in the second half of next year,"" he said in April..Musk and Tesla did not respond to requests for comment. Tesla shares ended 8.2% higher at $348.68 on Monday on investor enthusiasm over the robotaxi launch..Given Tesla’s AI-dependent approach, its challenge will be machine-training robotaxis to handle complex traffic “edge cases,” said Philip Koopman, a Carnegie Mellon University computer-engineering professor and autonomous-technology expert. That could take many years.",https://finance.yahoo.com/news/analysis-why-teslas-robotaxi-launch-060400479.html
2025-06-24 10:23:00,Watch These Tesla Levels as Stock Soars Following Robotaxi Service Rollout,Tesla shares jumped 8% on Monday after the EV maker launched its highly anticipated autonomous robotaxi vehicle service on Sunday. Monitor these key chart levels that investors will likely be watching.,"Tesla shares jumped 8% on Monday after the EV maker launched its highly anticipated autonomous robotaxi vehicle service on Sunday in Austin, Texas..The stock broke out from the pennant on above-average volume in Monday’s trading session, setting the stage for a new leg higher..Investors should watch key overhead areas on Tesla's chart around $365, $430 and $489 while also monitoring an important support level near $285...Tesla (TSLA) shares surged Monday after the EV maker launched its highly anticipated autonomous robotaxi vehicle service on Sunday in Austin, Texas..While the rollout was limited, CEO Elon Musk has said in past interviews that the company plans to quickly expand to more cities and potentially hundreds of thousands of vehicles by the end of next year. Tesla bulls, such as Wedbush analyst Dan Ives, have pointed out that Tesla's robotaxis and self-driving software have the potential to double the automaker’s market capitalization by the end of 2026..Tesla shares jumped more than 8% on Monday to around $349. The stock is still down about 14% since the start of the year, but it's risen more than 60% from its early-April low, boosted in part by Musk's decision to relinquish his role heading the Department of Government Efficiency and spend more time at his companies, including Tesla..Below, we take a closer look at Tesla’s chart and use technical analysis to identify key price levels that investors will likely be watching..After a pullback to the 50- and 200-day moving averages, Tesla shares consolidated within a pennant pattern just above the closely watched indicators..More recently, the stock broke out from the pennant on above-average volume in Monday’s trading session, setting the stage for a new leg higher. The move also coincided with a strong uptick in the relative strength index, indicating accelerating price momentum..Let’s identify three key overhead areas on Tesla’s chart to watch if the shares continue to rally and also locate an important support level worth monitoring..The first overhead area to watch sits around $365. This area, just 5% above Monday’s closing price, could provide resistance near last month’s prominent peak, which also aligns with the February countertrend high and twin peaks that formed on the chart last November..A convincing close above this area could trigger a rally toward $430. The shares may face selling pressure in this location near a series of trading activity situated just below the stock’s record high set in mid-December last year. Interestingly, this area also sits in the same neighborhood as a projected upside target that takes Tesla’s price action from late April to late May and repositions it from this month’s pullback low.",https://finance.yahoo.com/news/watch-tesla-levels-stock-soars-022352726.html
2025-06-24 08:30:00,Tesla Just Achieved a Big Milestone With Its Robotaxi Launch. But There's Another Potential Speed Bump Fast Approaching.,"With its official soft launch of robotaxis on June 22, Tesla achieved a goal that it has been working toward for years.  Investors are betting big on Tesla's future robotaxi fleet.  Investors are concerned about the company's second-quarter EV sales, which it will reveal in a couple of weeks.","With its official soft launch of robotaxis on June 22, Tesla achieved a goal that it has been working toward for years..Investors are betting big on Tesla's future robotaxi fleet..Investors are concerned about the company's second-quarter EV sales, which it will reveal in a couple of weeks..These 10 stocks could mint the next wave of millionaires ›.Tesla (NASDAQ: TSLA) and its CEO Elon Musk recently achieved a big milestone -- they launched the company's first self-driving robotaxis for paying customers in Austin, Texas. It's an initiative that Musk first discussed in 2016. While it looks more like a soft launch, it's still a big step for Tesla, which plans to launch a fully autonomous robotaxi fleet. Many investors think that could be a massive new business for the company that will justify Tesla's monster valuation..Still, Tesla has a lot going on right now. Remember, the company's core business is still electric vehicles (EVs), and that business is facing a critical event in just a few weeks' time..Tesla is expected to announce its second-quarter EV delivery figures in the first week of July. As many investors likely recall, first-quarter deliveries came in at roughly 337,000, its lowest quarterly number in over two years. Many investors have been concerned that Musk's close ties to President Donald Trump and his period of leading Trump's Department of Government Efficiency (DOGE) have alienated a significant portion of Tesla's potential customer base..While Musk has stepped down from his work with DOGE to refocus on his businesses, data thus far on Tesla's sales in the second quarter has been less than encouraging. Monthly sales data from Europe showed that Tesla's sales once again faltered in April in countries including the United Kingdom, the Netherlands, Denmark, Portugal, Sweden, and France..Other data suggests that its sales in China have struggled in the second quarter as well. Aside from politics and brand image, Tesla may also be struggling there as a result of increasing competition from competitors like BYD, which has grabbed a dominant market share in China. BYD's EVs are cheaper and its newest tech can charge faster than Tesla's. These factors, in my opinion, will pose a bigger problem for Tesla than its brand or political issues, which are likely to fade over time..Wall Street analysts are modeling for second-quarter deliveries of roughly 400,000, which would be an improvement from the first quarter, but a 10% year-over-year decline. However, some analysts don't expect investors to care much if Tesla misses estimates.",https://finance.yahoo.com/news/tesla-just-achieved-big-milestone-003000555.html
2025-06-24 08:05:00,Robotaxi news sends Tesla stock price surging,Here’s what could be next for Tesla stock.,"Robotaxi news sends Tesla stock price surging originally appeared on TheStreet..Buckle up. Tesla stock  (TSLA)  surged roughly 8.2% on June 23 following its Robotaxi launch during the weekend..The electric vehicle maker on Sunday deployed a small group of self-driving taxis picking up paying passengers in Austin, Texas. CEO Elon Musk called the event the “culmination of a decade of hard work” in a post on X, noting that “the AI chip and software teams were built from scratch within Tesla.”.Wedbush analyst Daniel Ives attended the Robotaxi event and said he was ""very impressed."".💵💰Don't miss the move: Subscribe to TheStreet's free daily newsletter💰💵.“We took a route through a park with dirt roads and traffic cones, yet the car was able to navigate perfectly and picked us up right at our exact location,” he described..“The interior features two touchscreen panels: one in the front and one in the back row above the AC vent. The back row panel is able to integrate with the user's Tesla account and sync with their Robotaxi app and automatically loads the user's content onto a suite of apps including Apple Music, Netflix, Spotify, Hulu, Disney+, and more.”.The self-driving experience may feel futuristic, but the need to buckle up hasn’t changed. And the same goes for how investors view Tesla stock..Tesla is the world’s most valuable automaker, but its investors had a tough time earlier this year. EV sales slowed in key markets like Europe, China, and California, while Musk drew criticism for focusing more on politics than the company’s core business..In April, Tesla reported weak earnings earlier this week, including a 20% year-over-year decline in automotive revenue and a 71% plunge in net income..Related: Tesla’s robotaxi finally launches, but there’s a twist.Many Wall Street analysts now believe that much of Tesla's sky-high stock value rests on its ability to deliver robotaxis and humanoid robots. Musk said his goal is to expand the service to many U.S. cities by the end of this year, with “millions of Teslas operating fully autonomously in the second half of next year.”.Still, the company could face major challenges in scaling up the Robotaxi service quickly..Texas Governor Greg Abbott signed legislation on June 20 requiring a state permit to operate self-driving vehicles, effective September 1. However, compliance in Texas remains far easier than in some states, notably California, which requires the submission of vehicle-testing data under state oversight, according to Reuters.",https://finance.yahoo.com/news/robotaxi-news-sends-tesla-stock-000507141.html
2025-06-24 06:44:00,Tesla’s robotaxis have already caught the attention of federal safety regulators,"The U.S. National Highway Traffic Safety Administration (NHTSA) contacted Tesla after numerous videos posted online appear to show Tesla robotaxis violating traffic laws in South Austin, where the company is providing rides to invited customers.","Federal safety regulators have reached out to Tesla a day after the automaker began providing rides in its branded robotaxis in Austin..The U.S. National Highway Traffic Safety Administration (NHTSA) contacted Tesla after numerous videos posted online appear to show Tesla robotaxis violating traffic laws in South Austin, where the company is providing rides to invited customers. Bloomberg was the first to report that the NHTSA reached out to Tesla. The NHTSA confirmed to TechCrunch that it has contacted the automaker..“NHTSA is aware of the referenced incidents and is in contact with the manufacturer to gather additional information,” the company said in an emailed statement. “NHTSA will continue to enforce the law on all manufacturers of motor vehicles and equipment, in accordance with the Vehicle Safety Act and our data-driven, risk-based investigative process.  Under U.S. law, NHTSA does not pre-approve new technologies or vehicle systems — rather, manufacturers certify that each vehicle meets NHTSA’s rigorous safety standards, and the agency investigates incidents involving potential safety defects. Following an assessment of those reports and other relevant information, NHTSA will take any necessary actions to protect road safety.”.On Sunday, Tesla began giving paid rides to invited customers in South Austin. The launch, while limited in size and scope, is the first real test of the automaker’s autonomous vehicle technology. Tesla does sell its branded Full Self-Driving Supervised software to owners of its vehicles. FSD handles steering and braking when engaged. However, it is considered an advanced driver-assistance system that requires the driver to have their hands on the wheel..Tesla robotaxis are equipped with an unsupervised version of FSD, although the company has not provided specific details about this software. The robotaxis, which customers can hail via an app, are meant to drive on their own. Notably, Tesla robotaxis have a human “safety monitor” sitting in the front passenger seat during these rides..Videos posted online show the Tesla robotaxis driving over the speed limit and in one case, swerving into the wrong lane..TechCrunch reported Sunday that Ed Niedermeyer, author of “Ludicrous: The Unvarnished Story of Tesla Motors,” who is in Austin to monitor the robotaxi rollout, took video showing a Tesla branded robotaxi suddenly hitting its brakes on two occasions without reason. A video, which TechCrunch has viewed and has since been posted on YouTube, shows that in both instances the Tesla hit the brakes as it approached police vehicles that were located in parking lot driveways adjacent to the roadway.",https://finance.yahoo.com/news/tesla-robotaxis-already-caught-attention-224439078.html
2025-06-24 10:26:00,"Tesla’s (TSLA) AI Future Could Add $1 Trillion in Value, Says Dan Ives","Tesla, Inc. (NASDAQ:TSLA) is one of the 10 AI Stocks in the Spotlight. On June 20, Wedbush’s Dan Ives reiterated his “Outperform” rating on the stock with a $500 price target. According to Ives, Tesla “remains the most undervalued AI play in the market today,” having the potential to roughly double its value by the end of next […]","Tesla, Inc. (NASDAQ:TSLA) is one of the 10 AI Stocks in the Spotlight. On June 20, Wedbush’s Dan Ives reiterated his “Outperform” rating on the stock with a $500 price target. According to Ives, Tesla “remains the most undervalued AI play in the market today,” having the potential to roughly double its value by the end of next year. Ives is optimistic that the “golden era of autonomous for Tesla” officially begins with the launch of the roughly 20 Model Y robotaxis in a geofenced area around Austin. They “believe the march to a $2 trillion valuation for TSLA over the next 12 to 18 months has now begun in our view with [Full Self-Driving] and autonomous penetration of Tesla’s installed base and the acceleration of Cybercab in the US representing the golden goose.”.The company also plans to scale to around 25 cities in the US over the next few years. Deeming the launch as one of the most important chapters in Tesla’s history, the analysts are optimistic that the event is a “foundation of autonomous growth for years to come.”.“We believe the AI future at Tesla (NASDAQ:TSLA) is worth $1 trillion to the valuation alone over the next few years,” Wedbush wrote..The investor note also noted regulatory tailwinds under Trump presidency, anticipating that federal oversight will help simplify approval for full self-driving technologies..“Trump wants the U.S. to stay ahead of China in this AI Arms Race.”.Moreover, autonomous technology “is a key factor in who wins AI… with Tesla playing a major role on robotaxis.” Tesla, Inc. (NASDAQ:TSLA) is an automotive and clean energy company that leverages advanced artificial intelligence in its autonomous driving technology and robotics initiatives. While we acknowledge the potential of TSLA as an investment, we believe certain AI stocks offer greater upside potential and carry less downside risk. If you’re looking for an extremely undervalued AI stock that also stands to benefit significantly from Trump-era tariffs and the onshoring trend, see our free report on the best short-term AI stock. READ NEXT: 10 AI Stocks on Wall Street’s Radar and 10 AI Stocks Getting Wall Street’s Attention.  Disclosure: None.",https://finance.yahoo.com/news/tesla-tsla-ai-future-could-222630980.html
